School,G,W,L,W-L%,SRS,SOS,W,L,Conf_W-L%,W,L,Home_W-L%,W,L,Away_W-L%,Tm.,Opp.,Point_T-O%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Fairleigh Dickinson NCAA,35,21,14,0.6,-6.09,-7.24,12,6,0.666666667,13,4,0.764705882,7,9,0.4375,2620,2515,0.510223953,68.7,107.5,0.362,0.347,0.576,49.3,52.8,10.7,10.5,0.544,17.3,28.8,0.263
Florida State NCAA,37,29,8,0.784,17.99,10.26,13,5,0.722222222,15,1,0.9375,6,4,0.6,2771,2485,0.527207002,69.5,106.3,0.358,0.377,0.545,53.2,49.5,10.2,12.7,0.505,16.2,32.3,0.267
Florida NCAA,36,20,16,0.556,15.42,11.22,9,9,0.5,9,6,0.6,5,6,0.454545455,2440,2289,0.51596532,64.7,103.7,0.299,0.433,0.53,49.2,51,10.9,11,0.498,15.4,30.6,0.216
Gardner-Webb NCAA,35,23,12,0.657,-2.61,-4.43,11,6,0.647058824,13,0,1,8,9,0.470588235,2718,2468,0.524103355,68.5,110.9,0.378,0.366,0.587,49.2,52.6,9.7,8.8,0.558,15,24.5,0.269
Georgia State NCAA,34,24,10,0.706,2.44,0.65,13,5,0.722222222,13,1,0.928571429,7,7,0.5,2598,2491,0.510512871,71.3,107.1,0.353,0.436,0.565,45.4,46,11.1,14,0.543,14.5,23.1,0.235
Gonzaga NCAA,37,33,4,0.892,27.79,5.01,16,0,1,17,0,1,9,1,0.9,3243,2400,0.574694312,71.7,122.2,0.353,0.353,0.62,54.7,56.8,10.5,13.9,0.59,13.1,30.4,0.269
Houston NCAA,37,33,4,0.892,18.91,4.61,16,2,0.888888889,19,1,0.95,10,1,0.909090909,2787,2258,0.552428147,67.3,111.8,0.316,0.426,0.55,54.9,55.8,9.6,13.4,0.521,13.9,33.8,0.222
Iona NCAA,33,17,16,0.515,-4.78,-5.5,12,6,0.666666667,8,3,0.727272727,5,9,0.357142857,2532,2508,0.502380952,71.4,107.4,0.368,0.445,0.568,48,50.4,9.5,7.7,0.53,15.4,24.3,0.275
Iowa State NCAA,35,23,12,0.657,18.07,9.3,9,9,0.5,12,4,0.75,5,6,0.454545455,2692,2385,0.53023439,68.2,112.7,0.3,0.396,0.575,50.3,54.1,10.3,12.5,0.548,13.9,28.4,0.22
Iowa NCAA,35,23,12,0.657,14.27,9.84,10,10,0.5,14,4,0.777777778,4,6,0.4,2740,2585,0.514553991,70.2,110.4,0.423,0.39,0.569,50.6,59.3,8.5,9,0.527,15.1,29.5,0.313
Kansas State NCAA,34,25,9,0.735,15.39,9.18,14,4,0.777777778,13,2,0.866666667,7,5,0.583333333,2236,2025,0.524759446,64.9,101.3,0.306,0.384,0.52,50.9,57.6,11.6,7.7,0.493,15.2,28.4,0.204
Kansas NCAA,36,26,10,0.722,18.35,12.79,12,6,0.666666667,16,0,1,3,8,0.272727273,2725,2525,0.519047619,70.3,106.5,0.325,0.349,0.555,52.1,48.3,9.5,10.9,0.526,16.1,29.9,0.229
Kentucky NCAA,37,30,7,0.811,21.43,10.29,15,3,0.833333333,17,1,0.944444444,8,2,0.8,2806,2394,0.539615385,67.3,111.9,0.419,0.296,0.571,56.9,51.2,8.8,13.4,0.53,15.9,36.4,0.31
Liberty NCAA,36,29,7,0.806,5.27,-3.88,14,2,0.875,16,1,0.941176471,11,3,0.785714286,2654,2209,0.54575365,65.4,112.8,0.265,0.442,0.596,51.5,55.2,9.5,8.1,0.569,15.1,25.1,0.205
Louisiana State NCAA,35,28,7,0.8,16.5,9.16,16,2,0.888888889,15,2,0.882352941,9,1,0.9,2815,2558,0.523915876,70.6,111.1,0.371,0.342,0.553,53,45.7,12.2,11.8,0.512,15.1,36.2,0.279
Louisville NCAA,34,20,14,0.588,17.28,11.04,10,8,0.555555556,14,4,0.777777778,5,6,0.454545455,2536,2324,0.5218107,68.4,107.4,0.349,0.437,0.553,52.4,53.6,6.3,7.9,0.509,15.2,29,0.271
Marquette NCAA,34,24,10,0.706,14.78,6.96,12,6,0.666666667,16,3,0.842105263,6,4,0.6,2629,2363,0.526642628,70.7,108.2,0.351,0.417,0.572,53,51.1,6.9,11.2,0.535,16.9,29.1,0.266
Maryland NCAA,34,23,11,0.676,16.01,10.09,13,7,0.65,15,3,0.833333333,6,5,0.545454545,2429,2228,0.521580417,66.6,107.3,0.328,0.37,0.55,56,52.1,6.5,13.4,0.514,16.5,34,0.244
Michigan State NCAA,39,32,7,0.821,24.93,12.34,16,4,0.8,15,1,0.9375,8,4,0.666666667,3025,2534,0.544162619,68.1,113.1,0.336,0.378,0.585,56.1,66.8,7.5,13.7,0.552,16,33.2,0.253
Michigan NCAA,37,30,7,0.811,21.82,10.55,15,5,0.75,17,1,0.944444444,7,4,0.636363636,2575,2158,0.544052398,65.4,106.5,0.275,0.399,0.542,50.7,54.4,9.3,10.3,0.516,12.3,23.9,0.193
Minnesota NCAA,36,22,14,0.611,12.52,11.27,9,11,0.45,14,3,0.823529412,2,9,0.181818182,2543,2498,0.5044634,67.9,103.7,0.416,0.296,0.521,51.2,59,7.1,10.1,0.482,14.6,30.9,0.283
Mississippi State NCAA,34,23,11,0.676,15.96,9.07,10,8,0.555555556,14,3,0.823529412,5,5,0.5,2628,2394,0.523297491,68.6,111.9,0.326,0.391,0.574,52.8,51.4,11.7,14,0.546,16.5,34.6,0.234
Mississippi NCAA,33,20,13,0.606,12.32,8.13,10,8,0.555555556,11,5,0.6875,6,5,0.545454545,2485,2347,0.514279801,69.2,108.4,0.309,0.399,0.568,51.1,54.2,10.2,9.6,0.531,16,30.1,0.242
Montana NCAA,35,26,9,0.743,1.5,-5.05,16,4,0.8,12,2,0.857142857,9,5,0.642857143,2665,2397,0.52647175,68.6,110.6,0.313,0.385,0.585,51.8,52.3,9.5,8.8,0.564,15.4,26.6,0.216
Murray State NCAA,33,28,5,0.848,8.96,-3.11,16,2,0.888888889,15,1,0.9375,10,3,0.769230769,2727,2255,0.547370534,71.8,115.1,0.335,0.364,0.586,52.1,59.8,10.5,11.5,0.557,14.7,31.3,0.246
Nevada NCAA,34,29,5,0.853,16,2.68,15,3,0.833333333,15,0,1,9,3,0.75,2723,2270,0.545363509,70.7,113.2,0.408,0.428,0.57,51.8,53.9,8.8,11.2,0.537,12.9,27.1,0.289
New Mexico State NCAA,35,30,5,0.857,10.05,-2.38,15,1,0.9375,16,1,0.941176471,10,1,0.909090909,2734,2259,0.547566593,68.3,113.9,0.341,0.467,0.562,57.2,53.4,8.2,8.1,0.538,14.7,36.7,0.231
North Carolina Central NCAA,34,18,16,0.529,-11.53,-11.24,10,6,0.625,10,2,0.833333333,4,12,0.25,2429,2266,0.517358892,68.5,104,0.334,0.361,0.545,54.8,60.2,8.9,7.5,0.512,18.8,35.1,0.239
North Carolina NCAA,36,29,7,0.806,23.94,11.35,16,2,0.888888889,14,2,0.875,11,1,0.916666667,3089,2636,0.539563319,75.9,112.7,0.302,0.358,0.56,56.6,60.6,9.2,9.5,0.529,14.6,34.8,0.224
North Dakota State NCAA,35,19,16,0.543,-4.01,-2.07,9,7,0.5625,10,3,0.769230769,4,9,0.307692308,2556,2541,0.501471454,66.8,108.5,0.318,0.472,0.576,48.7,46,6.8,6.6,0.54,14.2,20.6,0.247
Northeastern NCAA,34,23,11,0.676,3.95,-0.7,14,4,0.777777778,11,2,0.846153846,8,6,0.571428571,2564,2406,0.515895372,66.3,111.7,0.343,0.464,0.597,49.7,54.5,9.2,6,0.565,15.1,22.5,0.258
Northern Kentucky NCAA,35,26,9,0.743,4.67,-2.39,13,5,0.722222222,17,1,0.944444444,7,7,0.5,2747,2410,0.532674035,70,111.3,0.354,0.412,0.574,53.2,60.5,8.8,11.5,0.553,15.6,30.6,0.236
Ohio State NCAA,35,20,15,0.571,13.89,11,8,12,0.4,12,6,0.666666667,4,7,0.363636364,2419,2318,0.510660756,66.7,103.2,0.337,0.401,0.54,50.9,58.9,8.8,7,0.503,16.4,27.6,0.247
Oklahoma NCAA,34,20,14,0.588,15.3,12.21,7,11,0.388888889,11,4,0.733333333,5,7,0.416666667,2423,2318,0.511073613,69.3,102.5,0.313,0.331,0.534,50.2,48.7,8.6,8.3,0.504,15,25.6,0.218
Old Dominion NCAA,35,26,9,0.743,3.74,-1.18,13,5,0.722222222,14,2,0.875,8,4,0.666666667,2300,2128,0.519421861,65.6,100.2,0.289,0.373,0.499,53.2,53.3,8.6,14.3,0.471,15,31.8,0.192
Oregon NCAA,38,25,13,0.658,13.95,6.13,10,8,0.555555556,13,4,0.764705882,5,7,0.416666667,2661,2364,0.529552239,65.5,106.2,0.294,0.395,0.549,51.1,52.3,11.6,14.6,0.52,15.4,29.1,0.212
Prairie View NCAA,35,22,13,0.629,-7.29,-9.17,17,1,0.944444444,11,0,1,9,12,0.428571429,2627,2547,0.507730963,72.5,103.5,0.425,0.341,0.53,46.7,49.3,12.2,4.6,0.493,15.2,29.8,0.289
Purdue NCAA,36,26,10,0.722,21.4,11.99,16,4,0.8,15,0,1,6,6,0.5,2760,2421,0.532715692,66.1,114.4,0.299,0.455,0.563,53.7,53.6,9.1,12.6,0.536,13.5,33.8,0.215
Saint Louis NCAA,36,23,13,0.639,5.06,2.23,10,8,0.555555556,15,2,0.882352941,4,8,0.333333333,2399,2297,0.510860307,67,99.4,0.394,0.329,0.492,54.5,53.8,10.5,11.9,0.467,16,35.7,0.236
Saint Mary's (CA) NCAA,34,22,12,0.647,12.58,4.4,11,5,0.6875,14,3,0.823529412,5,5,0.5,2463,2185,0.529905336,64.3,112.2,0.291,0.352,0.568,54.4,37.9,9.2,6.9,0.538,14.1,30.8,0.216
Seton Hall NCAA,34,20,14,0.588,10.25,8.34,9,9,0.5,11,4,0.733333333,3,8,0.272727273,2508,2443,0.50656433,70.1,104.1,0.345,0.367,0.533,50,51.7,9.8,11.2,0.499,15.2,29.6,0.243
St. John's (NY) NCAA,34,21,13,0.618,7.88,5.5,8,10,0.444444444,11,4,0.733333333,4,7,0.363636364,2623,2542,0.507841239,72.6,105,0.295,0.385,0.548,45.8,50,12.1,9.8,0.518,13,21.4,0.212
Syracuse NCAA,34,20,14,0.588,13.73,10.09,10,8,0.555555556,13,6,0.684210526,6,4,0.6,2370,2246,0.513431542,67.2,103.4,0.368,0.432,0.529,48.4,50.5,12.1,16.8,0.496,15.9,30,0.252
Temple NCAA,33,23,10,0.697,8.17,4.93,13,5,0.722222222,13,2,0.866666667,8,5,0.615384615,2465,2358,0.511092681,70.5,104.4,0.325,0.374,0.534,48.2,54.5,12,6.2,0.499,13.8,26.1,0.236
Tennessee NCAA,37,31,6,0.838,21.55,10.16,15,3,0.833333333,18,0,1,7,3,0.7,3035,2580,0.540516474,69.4,116.2,0.333,0.32,0.587,52.3,59.7,8.5,15.2,0.554,13.7,30.9,0.251
Texas Tech NCAA,38,31,7,0.816,22.79,9.53,14,4,0.777777778,17,1,0.944444444,6,3,0.666666667,2765,2261,0.550139276,67.6,106.9,0.329,0.36,0.567,50.8,52.3,10.7,15.4,0.535,15.8,26.3,0.241
Utah State NCAA,35,28,7,0.8,11.98,0.89,15,3,0.833333333,14,1,0.933333333,9,4,0.692307692,2753,2349,0.539592317,70,111.5,0.367,0.379,0.575,56.2,62.4,8.7,12.2,0.538,15.8,31.9,0.274
Vermont NCAA,34,27,7,0.794,4.88,-4.18,14,2,0.875,16,2,0.888888889,11,4,0.733333333,2508,2143,0.539238873,66.5,110.2,0.359,0.403,0.568,53.2,46.2,8.3,11.9,0.53,14.6,27.3,0.269
Villanova NCAA,36,26,10,0.722,14.33,7.97,13,5,0.722222222,13,2,0.866666667,5,6,0.454545455,2654,2425,0.522543808,65,112.2,0.344,0.535,0.565,51.3,56.9,8.2,8.7,0.532,14.2,30.1,0.251
Virginia Commonwealth NCAA,33,25,8,0.758,11.96,2.87,16,2,0.888888889,16,1,0.941176471,8,4,0.666666667,2344,2044,0.534184139,69,102.1,0.357,0.412,0.535,50.8,54.9,11.5,12.2,0.501,17.3,31,0.251
Virginia Tech NCAA,35,26,9,0.743,19.28,7.79,12,6,0.666666667,14,2,0.875,5,5,0.5,2574,2172,0.542351454,64.4,113.3,0.319,0.437,0.588,51.9,59.5,10.4,8.4,0.556,15.2,29.2,0.243
Virginia NCAA,38,35,3,0.921,25.46,10.15,16,2,0.888888889,15,1,0.9375,10,1,0.909090909,2714,2132,0.560049525,60.8,116.3,0.291,0.395,0.58,53.9,55.9,9,13,0.552,12.8,29.7,0.216
Washington NCAA,36,27,9,0.75,12.01,7.01,15,3,0.833333333,15,1,0.9375,7,4,0.636363636,2511,2331,0.518587361,67.4,103.2,0.347,0.399,0.551,47.6,47.5,13.3,16.3,0.521,17.4,28.8,0.241
Wisconsin NCAA,34,23,11,0.676,17.9,11.01,14,6,0.7,12,3,0.8,8,5,0.615384615,2333,2099,0.526398917,64.8,103.9,0.273,0.346,0.531,49.8,49.2,7.9,11,0.511,13,24.3,0.177
Wofford NCAA,35,30,5,0.857,13.92,0.8,18,0,1,15,1,0.9375,11,3,0.785714286,2879,2295,0.556436026,68.5,119.2,0.271,0.436,0.598,54.5,50.6,9.6,9.1,0.58,13.5,32.5,0.19
Yale NCAA,30,22,8,0.733,5.52,-1.24,10,4,0.714285714,11,2,0.846153846,8,5,0.615384615,2427,2202,0.524303305,72.9,109.7,0.307,0.35,0.584,52.9,56.3,8,11.2,0.556,15.9,25.8,0.227
