School,G,W,L,W-L%,SRS,SOS,W,L,Conf_W-L%,W,L,Home_W-L%,W,L,Away_W-L%,Tm.,Opp.,Point_T-O%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian NCAA,34,27,7,0.794,-1.91,-7.34,14,4,0.777777778,13,2,0.866666667,10,4,0.714285714,2502,2161,0.536564443,67.2,108.6,0.336,0.345,0.565,50.3,58.5,12.9,8,0.535,15.5,28.8,0.239
Arizona State NCAA,34,23,11,0.676,10.28,6.04,12,6,0.666666667,13,3,0.8125,6,5,0.545454545,2638,2494,0.514029618,72.5,105.4,0.438,0.355,0.543,52.6,51.1,8.5,9.6,0.506,16.1,31.3,0.298
Auburn NCAA,40,30,10,0.75,20.84,10.92,11,7,0.611111111,15,2,0.882352941,4,6,0.4,3188,2750,0.536881105,69.2,114.1,0.312,0.494,0.569,49.2,52.1,13.2,15.6,0.543,14.3,31.6,0.221
Baylor NCAA,34,20,14,0.588,13.38,9.26,10,8,0.555555556,13,5,0.722222222,5,6,0.454545455,2442,2302,0.514755481,66.5,107.6,0.323,0.408,0.538,54.1,54.4,9.2,13.8,0.512,16.4,37.6,0.219
Belmont NCAA,33,27,6,0.818,9.12,-2.6,16,2,0.888888889,13,1,0.928571429,12,3,0.8,2868,2439,0.540418315,74.2,116.2,0.286,0.44,0.603,52.2,61.9,8.9,9.1,0.58,13.7,25.1,0.211
Bradley NCAA,35,20,15,0.571,-0.08,-0.9,9,9,0.5,10,6,0.625,5,8,0.384615385,2329,2285,0.504768097,66.2,100.2,0.359,0.348,0.531,50.7,52.1,8,11.6,0.497,16.7,26.9,0.248
Buffalo NCAA,36,32,4,0.889,15.56,2.62,16,2,0.888888889,14,0,1,12,3,0.8,3037,2550,0.543583318,74.5,112.8,0.327,0.436,0.561,52.4,55.3,9.8,10.1,0.535,13.8,31.8,0.225
UC-Irvine NCAA,37,31,6,0.838,5.7,-2.3,15,1,0.9375,12,2,0.857142857,13,2,0.866666667,2675,2353,0.532020684,66.2,107.8,0.296,0.325,0.543,54.8,48.5,8.5,10.9,0.516,15.2,34,0.208
Central Florida NCAA,33,24,9,0.727,13.37,5.58,13,5,0.722222222,15,2,0.882352941,5,5,0.5,2385,2128,0.528473299,67.3,107,0.453,0.356,0.557,51.5,53.6,8.5,12.6,0.529,15.5,29,0.294
Cincinnati NCAA,35,28,7,0.8,14.53,5.5,14,4,0.777777778,16,2,0.888888889,7,4,0.636363636,2510,2194,0.533588435,65,109.5,0.376,0.333,0.528,53.7,53.4,9.3,14.5,0.49,13.3,36.9,0.265
Colgate NCAA,35,24,11,0.686,1.23,-3.83,13,5,0.722222222,15,1,0.9375,9,9,0.5,2648,2458,0.518605562,67.8,110.3,0.282,0.409,0.585,52.7,56.6,8.9,10,0.559,16.8,29.1,0.21
Duke NCAA,38,32,6,0.842,26.9,11.98,14,4,0.777777778,15,2,0.882352941,7,2,0.777777778,3143,2576,0.549571603,73.2,112.6,0.332,0.373,0.561,53.8,52.4,12.4,16.4,0.536,14.8,35.3,0.228
