School,G,W,L,W-L%,SRS,SOS,W,L,Conf_W-L%,W,L,Home_W-L%,W,L,Away_W-L%,Tm.,Opp.,Point_T-O%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Massachusetts NCAA,33,24,9,0.727,10.61,6,10,6,0.625,11,2,0.846153846,7,4,0.636363636,2502,2350,0.515663644,71.7,105.3,0.392,0.261,0.538,51.9,55.4,9.5,12.3,0.504,16.1,34.4,0.268
Memphis NCAA,34,24,10,0.706,13.02,7.14,12,6,0.666666667,15,2,0.882352941,5,5,0.5,2614,2397,0.521652365,70.6,108.2,0.399,0.275,0.547,51.5,61.7,12.2,11,0.522,15.8,35.6,0.257
Mercer NCAA,36,27,9,0.75,5.33,-3.42,14,4,0.777777778,17,1,0.944444444,9,7,0.5625,2836,2410,0.540602364,65.7,115.8,0.384,0.367,0.582,52.9,59.7,8.6,11.8,0.547,14.7,34,0.282
Michigan State NCAA,38,29,9,0.763,19.35,9.38,12,6,0.666666667,12,4,0.75,7,3,0.7,2870,2491,0.535347883,66,113.3,0.337,0.363,0.573,53.7,62.2,10.2,13.4,0.545,14.7,32.2,0.239
Michigan NCAA,37,28,9,0.757,18.52,9.65,15,3,0.833333333,13,2,0.866666667,7,4,0.636363636,2736,2408,0.531881804,62.5,117.5,0.349,0.401,0.592,50.1,55.6,8.2,6.3,0.557,12.7,28.6,0.266
Milwaukee NCAA,35,21,14,0.6,-1.53,-0.44,7,9,0.4375,7,6,0.538461538,10,6,0.625,2465,2469,0.499594649,67.9,102.6,0.436,0.399,0.541,48.8,58.9,8.3,6.4,0.493,17.1,28.3,0.32
Mount St. Mary's NCAA,33,16,17,0.485,-6.32,-4.44,9,7,0.5625,10,3,0.769230769,6,13,0.315789474,2504,2566,0.493885602,70,107.5,0.367,0.434,0.554,46.6,46.1,10,6.7,0.515,14.7,27.8,0.271
Nebraska NCAA,32,19,13,0.594,10.13,8.5,11,7,0.611111111,15,1,0.9375,3,8,0.272727273,2137,2085,0.506158219,65.4,102.2,0.423,0.335,0.528,48.6,42.3,10.6,9.3,0.483,14.7,25.7,0.303
New Mexico State NCAA,36,26,10,0.722,6.16,-2.58,12,4,0.75,14,1,0.933333333,8,7,0.533333333,2771,2415,0.534323178,66.9,113.8,0.535,0.273,0.576,53.5,50.6,6.9,13.5,0.539,16,37.5,0.368
New Mexico NCAA,34,27,7,0.794,12.72,4.84,15,3,0.833333333,13,2,0.866666667,8,2,0.8,2516,2248,0.528127624,65.6,111.2,0.466,0.32,0.556,53.8,61.6,7.2,13.3,0.511,13.8,32.5,0.338
North Carolina Central NCAA,34,28,6,0.824,3.97,-8.03,16,1,0.941176471,14,0,1,11,5,0.6875,2513,2023,0.554012346,64.7,112.5,0.476,0.297,0.559,52.6,59,11.7,12.4,0.513,14.8,36.6,0.347
North Carolina State NCAA,36,22,14,0.611,9.02,7.44,9,9,0.5,13,6,0.684210526,6,6,0.5,2561,2504,0.505626851,64.9,108.1,0.37,0.255,0.529,49.5,49.1,7.3,10.8,0.5,13.4,34.2,0.243
North Carolina NCAA,34,24,10,0.706,15.24,8.42,13,5,0.722222222,15,3,0.833333333,6,5,0.545454545,2604,2372,0.523311897,70,108.5,0.429,0.211,0.526,53.4,54.9,10.4,12.5,0.499,14.1,38.1,0.268
North Dakota State NCAA,33,26,7,0.788,6.31,-0.02,12,2,0.857142857,12,1,0.923076923,10,5,0.666666667,2492,2164,0.535223368,63.9,117.7,0.409,0.275,0.593,53.2,43,9.7,13.1,0.555,13.4,31.7,0.307
Ohio State NCAA,35,25,10,0.714,17.84,8.12,10,8,0.555555556,17,3,0.85,5,5,0.5,2432,2092,0.537577365,65.1,106.1,0.423,0.329,0.54,50.2,49.9,11.8,12.2,0.503,14.9,29.6,0.291
Oklahoma State NCAA,34,21,13,0.618,19.02,8.34,8,10,0.444444444,13,3,0.8125,3,7,0.3,2728,2365,0.535637149,69.5,112.8,0.497,0.338,0.569,48.8,51.6,10.8,12.2,0.524,12.9,28,0.357
Oklahoma NCAA,33,23,10,0.697,14.91,8.97,12,6,0.666666667,14,3,0.823529412,5,4,0.555555556,2704,2508,0.518802763,71.7,112.9,0.394,0.37,0.56,50.9,53.1,9.4,8.4,0.517,13.5,32.4,0.295
Oregon NCAA,34,24,10,0.706,15.75,8.05,10,8,0.555555556,15,3,0.833333333,5,5,0.5,2783,2521,0.524698341,69.9,115,0.438,0.337,0.583,50.7,53,10.9,8.7,0.535,14,32.2,0.338
Pittsburgh NCAA,36,26,10,0.722,17.46,7.54,11,7,0.611111111,13,5,0.722222222,7,2,0.777777778,2586,2229,0.537071651,62.4,113,0.443,0.269,0.55,54.5,62.9,11.1,8.6,0.507,13.7,37.3,0.315
Providence NCAA,35,23,12,0.657,11.37,7.85,10,8,0.555555556,13,3,0.8125,5,6,0.454545455,2566,2443,0.5122779,64.9,109.1,0.419,0.317,0.539,52.4,56.1,8.3,12,0.483,14.6,35.4,0.328
Saint Joseph's NCAA,34,24,10,0.706,9.05,5.08,11,5,0.6875,11,4,0.733333333,8,4,0.666666667,2433,2298,0.514267597,66,108.1,0.436,0.369,0.563,52,56.7,6.7,11.9,0.539,15.9,29,0.281
Saint Louis NCAA,34,27,7,0.794,11.63,4.24,13,3,0.8125,14,3,0.823529412,11,1,0.916666667,2374,2105,0.530029024,67.4,102.4,0.404,0.322,0.533,51,58.1,10.9,9.9,0.494,16.2,29.4,0.281
San Diego State NCAA,36,31,5,0.861,14.95,4.86,16,2,0.888888889,15,1,0.9375,9,2,0.818181818,2530,2052,0.552160629,63.9,109.2,0.449,0.258,0.519,53.6,40.8,11.8,14.1,0.481,12.7,36.7,0.298
Stanford NCAA,36,23,13,0.639,13.42,9,10,8,0.555555556,12,4,0.75,6,5,0.545454545,2616,2457,0.5156712,67.1,108,0.45,0.293,0.553,51.3,46.3,7.9,11.6,0.513,14.7,29.3,0.316
Stephen F. Austin NCAA,35,32,3,0.914,4.82,-6.76,18,0,1,15,0,1,14,2,0.875,2661,2219,0.545286885,65.5,115.2,0.402,0.36,0.561,53.8,62.3,11.1,8.6,0.525,14.2,38.4,0.286
Syracuse NCAA,34,28,6,0.824,16.05,7.25,14,4,0.777777778,16,2,0.888888889,8,2,0.8,2311,2012,0.534582466,60.5,111.6,0.382,0.27,0.522,52.8,49.1,13.1,17.2,0.482,12.1,38.1,0.27
Tennessee NCAA,37,24,13,0.649,17.34,7.84,11,7,0.611111111,14,3,0.823529412,4,7,0.363636364,2672,2283,0.53925328,62.8,114.2,0.416,0.308,0.545,56.2,50.9,8.2,12,0.503,13.7,39.8,0.299
Texas Southern NCAA,34,19,15,0.559,-8.41,-10.07,12,6,0.666666667,9,2,0.818181818,6,11,0.352941176,2584,2512,0.507064364,68.2,109.8,0.491,0.325,0.565,52.2,55.5,6.6,8.5,0.521,16.6,33.8,0.352
Texas NCAA,35,24,11,0.686,12.67,9.15,11,7,0.611111111,16,2,0.888888889,4,6,0.4,2598,2475,0.512123004,69.1,107,0.434,0.26,0.514,54.6,49.9,8.2,15.8,0.474,14.4,39.6,0.291
Tulsa NCAA,34,21,13,0.618,6.23,1.17,13,3,0.8125,11,3,0.785714286,6,7,0.461538462,2471,2299,0.51802935,68.7,105,0.471,0.318,0.532,50.3,51.1,9.9,10.5,0.492,14.5,30.2,0.318
UCLA NCAA,37,28,9,0.757,18.4,7.62,12,6,0.666666667,16,2,0.888888889,5,5,0.5,3003,2604,0.535580524,70,115.1,0.382,0.275,0.579,51.2,59.3,13.1,9,0.541,12.7,29.8,0.286
Villanova NCAA,34,29,5,0.853,18.97,7.5,16,2,0.888888889,15,1,0.9375,10,2,0.833333333,2651,2261,0.539698697,67.6,113.2,0.445,0.448,0.574,52.6,60.1,10.1,11.2,0.536,14.9,32.6,0.318
Virginia Commonwealth NCAA,35,26,9,0.743,14.55,4.78,12,4,0.75,15,0,1,6,5,0.545454545,2624,2282,0.534855279,70.4,105,0.352,0.339,0.512,50.6,49.8,15.6,11.5,0.479,14.2,34.3,0.237
Virginia NCAA,37,30,7,0.811,18.38,7.86,16,2,0.888888889,15,2,0.882352941,7,4,0.636363636,2449,2060,0.54313595,60.6,108.8,0.42,0.297,0.542,54.7,56.6,8.6,12,0.508,13.8,33.2,0.283
Weber State NCAA,31,19,12,0.613,-0.92,-4.23,14,6,0.7,13,2,0.866666667,5,9,0.357142857,2254,2061,0.522363847,64.3,111.3,0.498,0.367,0.592,52.5,55.6,6.5,9,0.547,16.7,28.9,0.369
Western Michigan NCAA,33,23,10,0.697,1.73,-1.45,14,4,0.777777778,13,2,0.866666667,6,7,0.461538462,2373,2235,0.514973958,66.5,106.5,0.508,0.352,0.568,51.3,48.3,8.7,9.6,0.52,18.2,31.6,0.368
Wichita State NCAA,36,35,1,0.972,16.65,1.74,18,0,1,17,0,1,12,0,1,2706,2141,0.558283474,64.5,116.1,0.472,0.367,0.569,55.3,54.8,10.6,15,0.526,13.6,35.1,0.342
Wisconsin NCAA,38,30,8,0.789,19.69,10.19,12,6,0.666666667,14,3,0.823529412,8,3,0.727272727,2793,2432,0.534545455,63.3,115.7,0.426,0.391,0.575,51.1,50.5,7.6,8,0.533,11.2,28.1,0.318
Wofford NCAA,33,20,13,0.606,-4.32,-5.95,11,5,0.6875,9,4,0.692307692,8,8,0.5,2205,2054,0.517727166,63,105.6,0.328,0.302,0.529,51,52.4,9.8,4.6,0.502,14.4,31.7,0.218
Xavier NCAA,34,21,13,0.618,11.84,8.14,10,8,0.555555556,15,2,0.882352941,4,6,0.4,2442,2316,0.513240858,65.7,108.5,0.416,0.27,0.551,53.2,57.2,8.7,8.2,0.517,16,34.1,0.286
