School,G,W,L,W-L%,SRS,SOS,W,L,Conf_W-L%,W,L,Home_W-L%,W,L,Away_W-L%,Tm.,Opp.,Point_T-O%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Albany (NY) NCAA,34,19,15,0.559,-3.31,-5.22,9,7,0.5625,10,3,0.769230769,7,11,0.388888889,2239,2174,0.507364605,63,103.3,0.42,0.261,0.539,52.5,49.2,8.5,8.6,0.488,17.1,31.9,0.315
American NCAA,33,20,13,0.606,0.69,-3.25,13,5,0.722222222,11,3,0.785714286,9,9,0.5,2081,1951,0.516121032,60.7,103.4,0.35,0.358,0.584,50.6,65.8,9.8,9.9,0.558,20.7,26.5,0.248
Arizona State NCAA,33,21,12,0.636,13.32,7.41,10,8,0.555555556,16,1,0.941176471,4,7,0.363636364,2486,2291,0.520410299,69,107.2,0.425,0.371,0.558,48.4,56.3,7.2,12.8,0.524,14.5,24.5,0.295
Arizona NCAA,38,33,5,0.868,23.36,9.04,15,3,0.833333333,18,0,1,8,3,0.727272727,2769,2225,0.554465358,64.1,112.3,0.41,0.264,0.546,55.1,57.6,9,11.5,0.517,13.2,36.4,0.27
Baylor NCAA,38,26,12,0.684,15.8,10.11,9,9,0.5,13,4,0.764705882,5,5,0.5,2843,2577,0.524538745,64.2,115.1,0.45,0.344,0.556,54.8,58.7,8,14,0.521,14.7,40.6,0.306
Brigham Young NCAA,35,23,12,0.657,11.63,5.72,13,5,0.722222222,14,1,0.933333333,5,7,0.416666667,2931,2706,0.519957424,73.5,111.9,0.483,0.228,0.545,53.3,53.8,9.6,7.3,0.503,12.8,34.7,0.334
Cal Poly NCAA,34,14,20,0.412,-1.34,1.69,6,10,0.375,6,6,0.5,3,12,0.2,2141,2163,0.497444238,60.8,103.5,0.326,0.354,0.501,48.8,52.3,9.6,8,0.466,12.4,31.8,0.224
Cincinnati NCAA,34,27,7,0.794,15.26,5.28,15,3,0.833333333,18,1,0.947368421,7,3,0.7,2325,1986,0.539318024,63.6,107.5,0.387,0.309,0.519,53.2,52.8,12.4,16,0.477,14.4,39.1,0.274
Coastal Carolina NCAA,34,21,13,0.618,-5.21,-6.31,11,5,0.6875,14,5,0.736842105,6,7,0.461538462,2458,2326,0.513795987,68.6,104.2,0.385,0.319,0.528,53.2,42,9.2,8.6,0.491,16.9,35.1,0.266
Colorado NCAA,35,23,12,0.657,10.8,8.8,10,8,0.555555556,16,2,0.888888889,5,6,0.454545455,2457,2387,0.507225434,67,103.7,0.483,0.304,0.534,54.3,48.8,8.7,9,0.483,16.8,34,0.346
Connecticut NCAA,40,32,8,0.8,17.23,8.63,12,6,0.666666667,14,3,0.823529412,6,4,0.6,2873,2529,0.531840059,65.5,108.9,0.383,0.343,0.562,50.2,50.3,10.7,15.2,0.515,15.2,30.4,0.298
Creighton NCAA,35,27,8,0.771,18.03,7.17,14,4,0.777777778,16,0,1,7,4,0.636363636,2756,2376,0.537022603,65.3,120.6,0.339,0.446,0.616,51.7,64.2,6.1,3.8,0.589,13.3,27.7,0.252
Dayton NCAA,37,26,11,0.703,10.55,5.34,10,6,0.625,13,4,0.764705882,7,4,0.636363636,2671,2478,0.518741503,65.4,109.6,0.406,0.319,0.555,52.7,51.9,9.1,7.3,0.524,15.5,34,0.277
Delaware NCAA,35,25,10,0.714,2.73,-1.1,14,2,0.875,10,2,0.833333333,11,7,0.611111111,2782,2648,0.512338858,70.9,111.7,0.439,0.345,0.546,48.1,40.3,8.4,8.5,0.504,11.6,29.1,0.312
Duke NCAA,35,26,9,0.743,19.51,8.48,13,5,0.722222222,17,0,1,4,5,0.444444444,2745,2359,0.53781348,65.5,119.4,0.388,0.397,0.574,51.5,54.8,10.6,7.4,0.538,12.1,34.5,0.283
Eastern Kentucky NCAA,34,24,10,0.706,0.6,-4.34,11,5,0.6875,12,2,0.857142857,8,6,0.571428571,2677,2411,0.526139937,67.5,116.3,0.441,0.446,0.611,44.3,56.5,13,6.4,0.574,14.1,23.6,0.331
Florida NCAA,39,36,3,0.923,20.69,8.54,18,0,1,17,0,1,10,2,0.833333333,2727,2253,0.547590361,62.9,111.1,0.424,0.346,0.552,53.8,53.9,11.2,8.6,0.522,14.5,34.7,0.283
George Washington NCAA,33,24,9,0.727,10.6,4.42,11,5,0.6875,14,1,0.933333333,6,5,0.545454545,2415,2211,0.522049287,68,107.3,0.466,0.284,0.546,52.5,54.9,10.4,11.2,0.515,16.2,35.1,0.304
Gonzaga NCAA,36,29,7,0.806,15.56,5.36,15,3,0.833333333,15,0,1,8,4,0.666666667,2761,2372,0.537892071,68.1,114.1,0.404,0.328,0.59,52.3,54,9.7,10.2,0.56,15.2,30.6,0.286
Harvard NCAA,32,27,5,0.844,10.79,-0.47,13,1,0.928571429,11,1,0.916666667,11,3,0.785714286,2343,1952,0.545518044,64.6,111.6,0.48,0.283,0.564,52.1,57.1,11.6,13.4,0.519,15,32.8,0.347
Iowa State NCAA,36,28,8,0.778,18.52,9.88,11,7,0.611111111,15,1,0.9375,4,6,0.4,2989,2678,0.527439562,71.7,113.9,0.364,0.375,0.569,51.1,62.4,8.2,7,0.542,12.6,28.8,0.252
Iowa NCAA,33,20,13,0.606,18.58,7.43,9,9,0.5,13,4,0.764705882,4,6,0.4,2689,2321,0.536726547,69.9,115,0.453,0.275,0.558,54.7,57.9,10,13.5,0.511,13.3,37.7,0.333
Kansas State NCAA,33,20,13,0.606,12.14,8.47,10,8,0.555555556,15,2,0.882352941,2,7,0.222222222,2280,2159,0.513629196,65.6,104.2,0.403,0.325,0.52,50.7,63,9.4,8,0.488,15.6,34.7,0.264
Kansas NCAA,35,25,10,0.714,20.25,11.4,14,4,0.777777778,14,1,0.933333333,5,6,0.454545455,2764,2454,0.529704868,68.6,114.3,0.483,0.287,0.58,55.5,54.8,8.4,14.6,0.542,16.3,37.3,0.343
Kentucky NCAA,40,29,11,0.725,18.07,9.9,12,6,0.666666667,16,2,0.888888889,5,5,0.5,2992,2665,0.528902245,65.9,112.4,0.518,0.276,0.543,56.6,44.4,7.1,14.9,0.5,14.5,41.4,0.353
Louisiana NCAA,35,23,12,0.657,2.91,-0.28,11,7,0.611111111,13,2,0.866666667,6,9,0.4,2835,2633,0.518471105,71.2,111.4,0.429,0.315,0.554,52.3,47.8,9.8,10.2,0.522,15.2,36.3,0.288
Louisville NCAA,37,31,6,0.838,24.69,4.8,15,3,0.833333333,16,2,0.888888889,9,2,0.818181818,2998,2262,0.569961977,69,117.4,0.412,0.351,0.562,52.1,54,14.5,12.5,0.535,12.8,37.1,0.272
Manhattan NCAA,33,25,8,0.758,6.04,-0.9,15,5,0.75,9,3,0.75,12,4,0.75,2540,2311,0.523603381,70.3,107.1,0.555,0.307,0.547,50.7,52.3,11.5,15.3,0.507,16.8,34.4,0.368
