School,G,W,L,W-L%,SRS,SOS,W,L,Conf_W-L%,W,L,Home_W-L%,W,L,Away_W-L%,Tm.,Opp.,Point_T-O%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Alabama NCAA,33,21,12,0.636,13.76,7.18,9,7,0.5625,12,3,0.8,4,6,0.4,2135,1918,0.526770294,62.9,102.2,0.362,0.273,0.529,49.9,51.7,11.4,12,0.491,17.3,33.5,0.257
Baylor NCAA,38,30,8,0.789,16.54,8.03,12,6,0.666666667,14,3,0.823529412,8,3,0.727272727,2839,2483,0.533446073,67.1,111,0.353,0.315,0.566,52,56.8,11.2,12.5,0.528,17.2,38.4,0.266
Belmont NCAA,35,27,8,0.771,11.81,-1.22,16,2,0.888888889,13,1,0.928571429,10,6,0.625,2831,2363,0.545051983,68.7,117,0.385,0.403,0.591,49.7,62.2,10.5,5.7,0.558,15.2,34.5,0.282
Brigham Young NCAA,35,26,9,0.743,11.25,1.55,12,4,0.75,13,3,0.8125,8,3,0.727272727,2727,2358,0.536283186,73,106.7,0.367,0.323,0.553,50.2,61.3,11.6,11.9,0.521,16.1,30.6,0.257
University of California NCAA,34,24,10,0.706,13.79,4.53,13,5,0.722222222,17,1,0.944444444,5,6,0.454545455,2419,2104,0.534822021,66.3,107.3,0.341,0.229,0.554,51.4,60.5,7.1,8,0.517,15.8,32.1,0.254
Cincinnati NCAA,37,26,11,0.703,12.93,6.28,12,6,0.666666667,14,4,0.777777778,7,5,0.583333333,2522,2276,0.525635682,64.1,104.9,0.293,0.348,0.505,48.1,51.8,12.4,12,0.48,13.9,35.7,0.189
Colorado State NCAA,32,20,12,0.625,6.58,5.23,8,6,0.571428571,14,1,0.933333333,3,9,0.25,2243,2177,0.507466063,64.5,107.4,0.423,0.292,0.576,49.2,50.9,8.2,5.7,0.53,17.3,28.7,0.324
Colorado NCAA,36,24,12,0.667,7.91,5.73,11,7,0.611111111,14,2,0.875,4,7,0.363636364,2429,2269,0.517028523,66,101.9,0.432,0.305,0.538,50.2,50.5,8.8,9,0.499,17.2,30.1,0.299
Connecticut NCAA,34,20,14,0.588,12.27,8.07,8,10,0.444444444,13,4,0.764705882,3,7,0.3,2336,2193,0.515787149,64.1,106,0.346,0.293,0.528,49.3,53.3,9,17.6,0.5,15.9,36.3,0.229
Creighton NCAA,35,29,6,0.829,12.92,3.41,14,4,0.777777778,14,2,0.875,10,3,0.769230769,2772,2439,0.531951641,67.3,116.9,0.381,0.35,0.607,52.1,63.2,7.1,5.8,0.578,15.6,30.8,0.276
Davidson NCAA,33,25,8,0.758,7.26,-1.68,16,2,0.888888889,13,2,0.866666667,8,5,0.615384615,2571,2238,0.534622583,68.8,112.4,0.371,0.386,0.555,52.1,51.8,8,8.7,0.511,14.3,35.4,0.283
Detroit Mercy NCAA,36,22,14,0.611,2.4,-0.01,11,7,0.611111111,13,4,0.764705882,6,8,0.428571429,2597,2432,0.516404852,67.1,107.1,0.427,0.275,0.538,49.2,51.3,11.2,13.2,0.491,15.7,35.8,0.312
