School,G,W,L,W-L%,SRS,SOS,W,L,Conf_W-L%,W,L,Home_W-L%,W,L,Away_W-L%,Tm.,Opp.,Point_T-O%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Duke NCAA,34,27,7,0.794,17.05,8.4,13,3,0.8125,13,3,0.8125,8,1,0.888888889,2628,2334,0.529625151,68.3,112.3,0.451,0.386,0.565,49.8,48.4,9,9,0.528,15.1,34.7,0.316
Florida State NCAA,35,25,10,0.714,14.53,7.62,12,4,0.75,15,2,0.882352941,5,5,0.5,2443,2201,0.526055125,67.3,102.3,0.348,0.318,0.545,50,48.7,11.1,17,0.512,19.7,35,0.246
Florida NCAA,37,26,11,0.703,18.25,7.33,10,6,0.625,14,2,0.875,4,7,0.363636364,2808,2404,0.538756715,65.1,115.4,0.332,0.446,0.576,49.2,56.5,9.6,8.8,0.548,14.4,33.5,0.237
Georgetown NCAA,33,24,9,0.727,16.81,7.69,12,6,0.666666667,15,1,0.9375,6,5,0.545454545,2278,1959,0.53764456,63.3,107.4,0.386,0.308,0.552,52.1,55.6,9.4,13.2,0.519,16.8,35.8,0.27
Gonzaga NCAA,33,26,7,0.788,13.86,3.25,13,3,0.8125,15,1,0.9375,6,4,0.6,2436,2086,0.53869969,66.4,110.7,0.461,0.326,0.574,52,55.3,10.1,8.5,0.535,17,34.6,0.33
Harvard NCAA,31,26,5,0.839,7.84,-1.56,12,2,0.857142857,11,1,0.916666667,12,3,0.8,2033,1724,0.541123237,60.9,107.3,0.411,0.348,0.571,51.3,57.7,9.7,12.1,0.529,17.5,30.3,0.307
Indiana NCAA,36,27,9,0.75,18.63,7.8,11,7,0.611111111,18,1,0.947368421,5,6,0.454545455,2782,2392,0.537688442,66.9,115.5,0.445,0.275,0.596,50.8,51.3,9.7,8.5,0.552,16.5,35.3,0.34
Iona NCAA,33,25,8,0.758,8.36,-1.82,15,3,0.833333333,10,1,0.909090909,11,4,0.733333333,2736,2400,0.53271028,71.4,114.8,0.303,0.323,0.588,48.1,62.5,10.1,5.5,0.565,15.1,32.1,0.216
Iowa State NCAA,34,23,11,0.676,13.32,7.32,12,6,0.666666667,16,2,0.888888889,4,7,0.363636364,2490,2286,0.521356784,67.5,108.5,0.387,0.416,0.557,51.8,57.1,8.5,7.1,0.526,15.8,32.3,0.266
Kansas State NCAA,33,22,11,0.667,14.47,7.53,10,8,0.555555556,11,4,0.733333333,6,4,0.6,2343,2114,0.525689926,67,104.8,0.432,0.295,0.526,51.3,57.6,8.9,13,0.489,17.5,40.7,0.29
Kansas NCAA,39,32,7,0.821,21.72,9.93,16,2,0.888888889,16,0,1,8,2,0.8,2867,2407,0.543610163,67.3,108.8,0.398,0.296,0.556,52.1,57.4,10.8,15,0.523,16.4,34.9,0.275
Kentucky NCAA,40,38,2,0.95,24.73,7.93,16,0,1,18,0,1,8,1,0.888888889,3095,2423,0.560891627,66.4,116.5,0.417,0.265,0.575,52.9,48.4,9.1,20.4,0.538,14.2,37.1,0.302
Lamar NCAA,35,23,12,0.657,2.41,-3.77,11,5,0.6875,12,2,0.857142857,8,9,0.470588235,2573,2296,0.528445266,68.7,106.6,0.41,0.218,0.516,51.7,49.7,11.7,10.5,0.469,14.4,37.8,0.295
Lehigh NCAA,35,27,8,0.771,4.27,-5.14,11,3,0.785714286,12,1,0.923076923,12,6,0.666666667,2648,2288,0.536466775,68.1,110.3,0.378,0.358,0.553,47.9,50.6,11.2,8,0.507,14,31.7,0.291
Cal State Long Beach NCAA,34,25,9,0.735,9.52,0.87,15,1,0.9375,12,0,1,8,7,0.533333333,2510,2175,0.535752401,67.2,109.1,0.42,0.329,0.556,50.7,54.1,10.5,7.1,0.527,16.3,34.7,0.281
Long Island University NCAA,34,25,9,0.735,-1.34,-5.1,16,2,0.888888889,15,0,1,7,8,0.466666667,2769,2641,0.511829945,74.8,108.5,0.497,0.312,0.577,48.6,54.3,8.1,6.7,0.532,18.5,34.2,0.363
Louisville NCAA,40,30,10,0.75,16.19,9.02,10,8,0.555555556,16,4,0.8,6,5,0.545454545,2727,2440,0.527772402,67,100.5,0.362,0.321,0.51,49.7,55.2,13,12.8,0.473,17.4,35.7,0.249
Loyola (MD) NCAA,33,24,9,0.727,0.37,-2.72,13,5,0.722222222,10,2,0.833333333,11,6,0.647058824,2222,2120,0.511745739,65.3,103.1,0.429,0.273,0.52,49.6,52.1,11.8,11.7,0.472,17.2,38.1,0.309
Marquette NCAA,35,27,8,0.771,16.92,7.5,14,4,0.777777778,15,1,0.9375,6,5,0.545454545,2638,2308,0.533360291,70.7,106.6,0.409,0.293,0.543,47.4,63.1,12.3,8.8,0.501,16,33.9,0.295
Memphis NCAA,35,26,9,0.743,16.86,5.26,13,3,0.8125,18,2,0.9,7,4,0.636363636,2614,2208,0.542098714,67.1,110.1,0.413,0.269,0.575,48.7,54.1,11.7,14.6,0.54,16.3,31.3,0.296
Michigan State NCAA,37,29,8,0.784,21.32,9.82,13,5,0.722222222,17,1,0.944444444,7,4,0.636363636,2651,2195,0.547049113,65.1,109.7,0.377,0.276,0.559,54.1,59,11,12.4,0.527,16.7,36.1,0.264
Michigan NCAA,34,24,10,0.706,13.19,8.98,13,5,0.722222222,15,1,0.9375,5,6,0.454545455,2255,2090,0.518987342,61.2,107.2,0.283,0.443,0.559,47.3,53.3,8,6.1,0.532,15.5,28,0.204
Mississippi Valley State NCAA,34,21,13,0.618,-8.03,-7.65,17,1,0.944444444,9,0,1,8,11,0.421052632,2332,2345,0.49861022,70,96.9,0.35,0.384,0.494,47.4,55.5,12.5,7,0.463,17.8,33.9,0.225
Missouri NCAA,35,30,5,0.857,19.77,5.68,14,4,0.777777778,16,1,0.941176471,7,3,0.7,2814,2321,0.548003895,66.4,120.7,0.375,0.379,0.614,48,57.7,12.2,7.2,0.58,13.5,30.4,0.287
Montana NCAA,32,25,7,0.781,4.55,-3.39,15,1,0.9375,16,2,0.888888889,9,4,0.692307692,2239,1985,0.530066288,66.1,105.4,0.398,0.31,0.557,47,55.8,10.8,9.7,0.52,16.6,28.3,0.285
Murray State NCAA,33,31,2,0.939,8.74,-2.6,15,1,0.9375,13,1,0.928571429,13,0,1,2412,2001,0.546566961,66.1,109.8,0.439,0.349,0.576,49.2,51.5,12.6,11,0.537,18,34.9,0.318
Nevada-Las Vegas NCAA,35,26,9,0.743,13.55,4.37,9,5,0.642857143,17,0,1,5,7,0.416666667,2671,2307,0.536560868,69.3,108.2,0.356,0.387,0.554,50.2,65.4,12.1,12.5,0.527,16.2,32.8,0.241
New Mexico State NCAA,36,26,10,0.722,8.73,0.08,10,4,0.714285714,14,3,0.823529412,7,5,0.583333333,2812,2459,0.533485107,70.7,110.1,0.517,0.247,0.552,54.6,51.3,9.5,10.8,0.515,17.3,41.1,0.346
New Mexico NCAA,35,28,7,0.8,15.6,3.34,10,4,0.714285714,14,2,0.875,7,3,0.7,2545,2076,0.550746592,66.3,109.3,0.394,0.368,0.565,52.7,65.4,10.3,9.6,0.531,17.2,34.7,0.279
Norfolk State NCAA,36,26,10,0.722,-3.68,-5.39,13,3,0.8125,10,4,0.714285714,10,4,0.714285714,2482,2416,0.506737444,68.4,99.8,0.419,0.321,0.523,48.9,49.5,9.6,12.3,0.49,18.5,34.2,0.275
North Carolina-Asheville NCAA,34,24,10,0.706,3.06,-2.72,16,2,0.888888889,15,2,0.882352941,8,5,0.615384615,2745,2426,0.530845098,70.5,114,0.468,0.33,0.589,49.1,61.5,11.8,6.9,0.541,16.4,34.4,0.358
North Carolina State NCAA,37,24,13,0.649,12.1,6.8,9,7,0.5625,13,6,0.684210526,5,4,0.555555556,2697,2501,0.518853405,67.7,107.3,0.363,0.261,0.539,51,59.1,9.9,10.5,0.504,15.8,35.8,0.255
North Carolina NCAA,38,32,6,0.842,21.34,7.07,14,2,0.875,17,1,0.944444444,8,2,0.8,3091,2549,0.548049645,72.8,111.3,0.373,0.235,0.531,54.8,58.1,9.3,14,0.498,13.3,39.1,0.254
Notre Dame NCAA,34,22,12,0.647,11.18,6.47,13,5,0.722222222,16,1,0.941176471,5,5,0.5,2257,2097,0.518373909,61.6,106.3,0.374,0.369,0.532,47.4,63.6,8.3,8.3,0.495,13.9,30.5,0.263
Ohio State NCAA,39,31,8,0.795,23.95,9.07,13,5,0.722222222,17,2,0.894736842,7,4,0.636363636,2913,2333,0.555280213,66.9,111.6,0.381,0.269,0.556,53.7,53.7,10.8,9.3,0.521,14.6,34.9,0.27
Ohio NCAA,37,29,8,0.784,7.17,0.17,11,5,0.6875,16,1,0.941176471,8,6,0.571428571,2597,2311,0.529136104,66.8,104.4,0.355,0.384,0.527,46.7,54.2,14,8.5,0.494,16.3,33.9,0.245
Purdue NCAA,35,22,13,0.629,13.88,8.05,10,8,0.555555556,13,4,0.764705882,5,5,0.5,2514,2310,0.521144279,64.6,111.2,0.341,0.373,0.536,46.6,52.9,10,8.9,0.511,11.5,31.8,0.224
Saint Louis NCAA,34,26,8,0.765,15.15,4.06,12,4,0.75,15,1,0.9375,6,5,0.545454545,2336,1960,0.543761639,63.2,108.3,0.36,0.366,0.55,48.4,56.4,10.9,8,0.515,15.2,31.6,0.259
Saint Mary's (CA) NCAA,33,27,6,0.818,11.26,0.78,14,2,0.875,16,1,0.941176471,8,3,0.727272727,2467,2068,0.54399118,64.8,115,0.385,0.394,0.576,54.2,60.7,10.6,7.8,0.541,15.2,35.9,0.281
San Diego State NCAA,34,26,8,0.765,9.04,3.79,10,4,0.714285714,17,2,0.894736842,7,4,0.636363636,2416,2166,0.527280663,66.6,105.1,0.369,0.304,0.54,51.1,48.3,8.2,6.4,0.505,16,31.5,0.259
South Dakota State NCAA,35,27,8,0.771,7.34,-1.87,15,3,0.833333333,14,0,1,8,7,0.533333333,2689,2329,0.535870865,66.1,114.9,0.399,0.371,0.576,48.9,54.5,10.1,4.9,0.54,13.7,31.2,0.29
South Florida NCAA,36,22,14,0.611,9.2,7.29,12,6,0.666666667,14,2,0.875,5,8,0.384615385,2134,2037,0.511627907,59.7,98.6,0.338,0.303,0.521,50.5,54.8,9.2,10.8,0.485,19.1,34.2,0.239
Southern Mississippi NCAA,34,25,9,0.735,7.79,3.61,11,5,0.6875,15,0,1,7,6,0.538461538,2426,2212,0.523070289,64.5,107.9,0.394,0.304,0.517,50.9,45.7,9.1,8.1,0.469,13.8,37.2,0.29
St. Bonaventure NCAA,32,20,12,0.625,8.25,2.84,10,6,0.625,11,2,0.846153846,6,8,0.428571429,2254,2081,0.519953864,65,107,0.421,0.299,0.557,51.8,57.7,8.8,11.5,0.508,17.8,35.5,0.32
Syracuse NCAA,37,34,3,0.919,21.12,8.02,17,1,0.944444444,19,0,1,9,1,0.9,2742,2257,0.548509702,65.2,113.3,0.329,0.31,0.55,46.7,56.1,14,19.4,0.521,13.5,36.3,0.23
Temple NCAA,32,24,8,0.75,10.44,4.94,13,3,0.8125,10,1,0.909090909,10,4,0.714285714,2401,2225,0.519022914,67.6,108.8,0.342,0.313,0.563,48.4,57.3,10.4,10.1,0.531,15.8,31.5,0.246
Texas NCAA,34,20,14,0.588,14,8.12,9,9,0.5,15,3,0.833333333,4,7,0.363636364,2470,2270,0.521097046,66.7,108.1,0.426,0.312,0.533,49.6,50.1,10.1,9.7,0.485,15.5,38.5,0.312
Vanderbilt NCAA,36,25,11,0.694,15.71,8.04,10,6,0.625,13,5,0.722222222,6,5,0.545454545,2615,2339,0.527856278,65.5,109.7,0.401,0.412,0.572,48.6,51.8,9,10.4,0.541,16.9,31.6,0.28
Vermont NCAA,36,24,12,0.667,0.98,-5.19,13,3,0.8125,10,4,0.714285714,10,6,0.625,2415,2193,0.524088542,63.2,105,0.373,0.293,0.536,50.2,56,9.6,6.5,0.493,16.5,34.3,0.276
Virginia Commonwealth NCAA,36,29,7,0.806,8.79,0.63,15,3,0.833333333,13,1,0.928571429,10,3,0.769230769,2448,2154,0.531942634,65.2,103.6,0.363,0.392,0.512,46.8,51.7,16,10.4,0.476,14.7,33.4,0.249
Virginia NCAA,32,22,10,0.688,12.51,4.23,9,7,0.5625,13,3,0.8125,7,4,0.636363636,2000,1735,0.535475234,61.1,101.9,0.354,0.298,0.543,49.9,54.6,10.5,8.2,0.507,16.6,27.1,0.256
West Virginia NCAA,33,19,14,0.576,12.13,7.53,9,9,0.5,11,5,0.6875,4,6,0.4,2346,2194,0.516740088,64.8,106.8,0.386,0.305,0.518,52.1,56.9,9.6,6.7,0.483,15.7,40.9,0.259
Western Kentucky NCAA,35,16,19,0.457,-2.66,0.51,7,9,0.4375,8,7,0.533333333,3,8,0.272727273,2272,2383,0.488077336,68.4,94.2,0.402,0.327,0.489,48.1,50.1,8.1,10.1,0.444,18.7,34.1,0.276
Wichita State NCAA,33,27,6,0.818,17.42,3.8,16,2,0.888888889,14,1,0.933333333,10,1,0.909090909,2545,2060,0.552660152,67,113.3,0.347,0.328,0.577,52.8,53.2,9.3,10.4,0.543,15.5,33.5,0.26
Wisconsin NCAA,36,26,10,0.722,19.04,8.24,12,6,0.666666667,14,4,0.777777778,7,4,0.636363636,2304,1915,0.546100972,58.6,108.4,0.307,0.413,0.536,49.8,53.7,8.5,9.1,0.501,13,30.6,0.227
Xavier NCAA,36,23,13,0.639,9.59,6.22,10,6,0.625,13,3,0.8125,5,6,0.454545455,2543,2422,0.512185297,67.5,103.6,0.412,0.252,0.535,49.1,52.4,8.8,10.2,0.497,15.9,31.3,0.287
