School,G,W,L,W-L%,SRS,SOS,W,L,Conf_W-L%,W,L,Home_W-L%,W,L,Away_W-L%,Tm.,Opp.,Point_T-O%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Long Island University NCAA,35,18,17,0.514,-8.61,-8.19,10,8,0.555555556,12,4,0.75,5,11,0.3125,2696,2674,0.502048417,72.9,105.4,0.382,0.397,0.555,51,47.3,7.6,7.6,0.523,17,29.7,0.266
Loyola (IL) NCAA,38,32,6,0.842,10.38,1.81,15,3,0.833333333,14,1,0.933333333,9,4,0.692307692,2721,2377,0.533738721,65.9,108.6,0.319,0.357,0.602,51.3,59.7,9.6,6.8,0.577,17.3,22.4,0.231
Marshall NCAA,36,25,11,0.694,4.21,0.44,12,6,0.666666667,15,2,0.882352941,6,8,0.428571429,3017,2849,0.514319809,76.3,108.7,0.335,0.453,0.583,46.7,59,9.1,12.7,0.548,15.5,22.5,0.256
Maryland-Baltimore County NCAA,36,25,11,0.694,-2.02,-3.84,12,4,0.75,15,2,0.882352941,9,7,0.5625,2630,2466,0.516091052,69.2,105.6,0.307,0.45,0.55,49.1,59.1,10.8,7.3,0.531,15.5,26.8,0.198
Miami (FL) NCAA,32,22,10,0.688,12.83,6.96,11,7,0.611111111,11,3,0.785714286,8,4,0.666666667,2361,2173,0.520732245,67.8,108,0.291,0.36,0.551,50.6,48.5,9.6,11,0.531,14.6,29.1,0.192
Michigan State NCAA,35,30,5,0.857,22.41,7.1,16,2,0.888888889,16,1,0.941176471,8,1,0.888888889,2807,2271,0.552776684,68.1,117.3,0.359,0.363,0.601,57.6,67.6,6,18.5,0.569,16.4,37,0.268
Michigan NCAA,41,33,8,0.805,19.03,9.41,13,5,0.722222222,15,1,0.9375,6,5,0.545454545,3019,2596,0.537666963,65.7,111,0.307,0.433,0.564,50.3,53.6,9.6,8.1,0.545,12.4,25.4,0.203
Missouri NCAA,33,20,13,0.606,13.81,9.19,10,8,0.555555556,13,3,0.8125,5,6,0.454545455,2399,2246,0.516469322,67.3,107.1,0.39,0.453,0.573,53.2,55.8,7.6,11.3,0.537,18.3,31.2,0.286
Montana NCAA,34,26,8,0.765,6.28,-2.25,16,2,0.888888889,14,0,1,8,6,0.571428571,2625,2329,0.529874849,69.9,108.8,0.386,0.272,0.549,53.3,45.3,10.9,9.2,0.513,15,33.3,0.273
Murray State NCAA,32,26,6,0.813,6.87,-3.53,16,2,0.888888889,14,2,0.875,10,3,0.769230769,2515,2117,0.542962003,68.1,115.3,0.381,0.399,0.591,54.1,54.1,9.9,8.7,0.558,15.3,33,0.28
Nevada NCAA,37,29,8,0.784,14.44,4.93,15,3,0.833333333,14,1,0.933333333,11,3,0.785714286,3055,2703,0.530566169,70.5,115.5,0.363,0.404,0.582,49.4,57,8.7,10.9,0.548,12,26.4,0.269
New Mexico State NCAA,34,28,6,0.824,9.06,-1.1,12,2,0.857142857,14,1,0.933333333,8,3,0.727272727,2572,2183,0.540904311,70.1,107.5,0.287,0.367,0.538,56,49.9,7.9,8.6,0.519,15.2,34.2,0.184
North Carolina Central NCAA,35,19,16,0.543,-13.19,-12.31,9,7,0.5625,12,2,0.857142857,3,13,0.1875,2520,2425,0.509605662,68.8,104.3,0.29,0.311,0.538,53.4,57.4,7.4,9.4,0.512,17.4,33.9,0.199
North Carolina-Greensboro NCAA,35,27,8,0.771,4.54,-3.87,15,3,0.833333333,16,1,0.941176471,8,6,0.571428571,2562,2189,0.539254894,66.9,107.1,0.265,0.452,0.548,55,52.7,11.2,12.4,0.525,17.1,34.2,0.185
North Carolina State NCAA,33,21,12,0.636,12.91,6.7,11,7,0.611111111,16,3,0.842105263,4,5,0.444444444,2682,2477,0.519868192,72.1,112.3,0.342,0.344,0.562,50.3,55,10.2,9.2,0.534,14.3,33.4,0.238
North Carolina NCAA,37,26,11,0.703,20.08,11.78,11,7,0.611111111,12,3,0.8,6,5,0.545454545,3018,2711,0.526793507,71.7,113.4,0.28,0.351,0.551,56.4,61,8,11.1,0.52,14,37.4,0.208
Ohio State NCAA,34,25,9,0.735,17.67,9.03,15,3,0.833333333,16,2,0.888888889,6,2,0.75,2591,2297,0.53007365,67.9,111,0.311,0.342,0.57,53.6,52.5,9,11.3,0.541,14.9,30.1,0.227
Oklahoma NCAA,32,18,14,0.563,13.81,10.56,8,10,0.444444444,13,2,0.866666667,2,9,0.181818182,2718,2614,0.509752438,76.5,109.8,0.332,0.405,0.569,49.8,50.2,8.4,11,0.535,15.2,28.4,0.247
Pennsylvania NCAA,33,24,9,0.727,2.24,-3.17,12,2,0.857142857,11,3,0.785714286,9,4,0.692307692,2506,2274,0.524267782,70.2,105.3,0.334,0.427,0.555,51,56.9,8.2,7,0.533,14.8,23.6,0.22
Providence NCAA,35,21,14,0.6,11.12,10.23,10,8,0.555555556,13,4,0.764705882,4,7,0.363636364,2575,2544,0.503027935,69.5,104.1,0.386,0.329,0.534,49.6,53.9,9.6,9.8,0.496,15.1,28.8,0.272
Purdue NCAA,37,30,7,0.811,23.41,8.74,15,3,0.833333333,16,1,0.941176471,8,2,0.8,2974,2431,0.550231267,68.1,117.7,0.356,0.401,0.606,51.8,57.9,8.3,12.5,0.577,14,27.8,0.265
Radford NCAA,36,23,13,0.639,-2.61,-4.08,12,6,0.666666667,12,2,0.857142857,7,10,0.411764706,2422,2336,0.509037411,63.4,104.3,0.307,0.397,0.528,52.3,52,9.7,9.1,0.494,16.1,33.7,0.223
Rhode Island NCAA,34,26,8,0.765,11.81,4.61,15,3,0.833333333,15,1,0.9375,7,4,0.636363636,2583,2338,0.524893314,69.2,109,0.301,0.32,0.539,50,54.5,10.5,9.5,0.511,13.1,31,0.209
San Diego State NCAA,33,22,11,0.667,12.23,3.91,11,7,0.611111111,13,2,0.866666667,5,7,0.416666667,2545,2240,0.531870428,70.4,109.6,0.357,0.36,0.553,53.7,54.1,8.9,9.4,0.519,14.6,31.9,0.255
Seton Hall NCAA,34,22,12,0.647,15.67,10.11,10,8,0.555555556,14,3,0.823529412,5,6,0.454545455,2701,2512,0.518127758,71.1,111,0.352,0.33,0.558,53.1,54.3,8.6,9.1,0.529,15.2,34.2,0.246
South Dakota State NCAA,35,28,7,0.8,6.84,-0.38,13,1,0.928571429,15,0,1,8,5,0.615384615,2958,2599,0.532301602,72.3,115.7,0.354,0.432,0.59,52.2,46.6,6.7,5.9,0.554,12.3,24.8,0.269
St. Bonaventure NCAA,34,26,8,0.765,8.87,2.61,14,4,0.777777778,13,1,0.928571429,9,4,0.692307692,2620,2407,0.521185598,69.4,109.5,0.405,0.337,0.561,50.5,53.4,10,10.8,0.516,14.3,29.2,0.305
Stephen F. Austin NCAA,35,28,7,0.8,2.67,-6.46,14,4,0.777777778,16,1,0.941176471,9,5,0.642857143,2819,2386,0.541594621,73.8,109.1,0.398,0.316,0.576,52.6,49.8,14,9.7,0.544,18.1,33.5,0.28
Syracuse NCAA,37,23,14,0.622,12.89,10.02,8,10,0.444444444,14,5,0.736842105,4,6,0.4,2466,2360,0.51098218,64.2,102.4,0.405,0.328,0.518,52.6,47.5,10.7,17.4,0.469,16.2,34.6,0.298
Tennessee NCAA,35,26,9,0.743,18.2,10.12,13,5,0.722222222,13,2,0.866666667,8,4,0.666666667,2584,2301,0.528966223,67.1,109.3,0.355,0.357,0.549,51.4,62.1,9.4,12.8,0.508,15.2,33.3,0.269
Texas A&M NCAA,35,22,13,0.629,15.3,10.62,9,9,0.5,13,3,0.8125,4,7,0.363636364,2631,2467,0.516084739,70.9,106.1,0.32,0.33,0.538,54.3,55.1,7.7,15.3,0.514,16.3,33.9,0.212
Texas Christian NCAA,33,21,12,0.636,16.38,9.68,9,9,0.5,15,3,0.833333333,3,7,0.3,2708,2487,0.521270452,70,115.1,0.342,0.352,0.59,54.5,62.8,9.1,9.4,0.566,15.4,34.1,0.241
Texas Southern NCAA,36,16,20,0.444,-7.53,-5.53,12,6,0.666666667,8,2,0.8,5,17,0.227272727,2787,2859,0.493623804,72.7,105.8,0.429,0.37,0.548,48.5,47.4,7.9,9.3,0.505,15.1,28.4,0.311
Texas Tech NCAA,37,27,10,0.73,19.38,9.6,11,7,0.611111111,17,1,0.944444444,4,6,0.4,2759,2397,0.535104732,68.3,108.4,0.393,0.335,0.555,52.6,54.9,10.3,12.8,0.52,15.4,32.9,0.276
Texas NCAA,34,19,15,0.559,13.96,10.67,8,10,0.444444444,13,4,0.764705882,3,7,0.3,2450,2338,0.511695906,66.9,103.9,0.33,0.381,0.527,50,44.7,8.9,12.8,0.5,14.6,29.5,0.219
UCLA NCAA,33,21,12,0.636,12.07,6.86,11,7,0.611111111,14,2,0.875,3,7,0.3,2679,2507,0.516583108,71.4,111.1,0.355,0.404,0.569,51.8,53.4,7.6,10.3,0.537,14.5,28.4,0.256
Villanova NCAA,40,36,4,0.9,26.64,10.24,14,4,0.777777778,12,1,0.923076923,9,3,0.75,3463,2807,0.5523126,70.1,122.3,0.294,0.475,0.623,52.4,53.7,9.1,10.5,0.595,13.3,29.3,0.229
Virginia Tech NCAA,33,21,12,0.636,14.35,6.72,10,8,0.555555556,14,4,0.777777778,6,5,0.545454545,2634,2382,0.525119617,69.9,113,0.365,0.399,0.602,48.8,58.2,8.2,6.6,0.577,15.3,23.9,0.259
Virginia NCAA,34,31,3,0.912,22.21,9.07,17,1,0.944444444,16,1,0.941176471,10,1,0.909090909,2283,1836,0.554260743,60.6,110.4,0.245,0.35,0.555,51.2,54,11.2,12.3,0.527,12.3,26.9,0.184
West Virginia NCAA,37,26,11,0.703,19.88,9.36,11,7,0.611111111,14,3,0.823529412,5,5,0.5,2964,2575,0.535114642,70.5,113.2,0.313,0.384,0.543,52.5,54.2,11.5,15.9,0.504,13.3,36.8,0.24
Wichita State NCAA,33,25,8,0.758,16.58,5.46,14,4,0.777777778,13,3,0.8125,9,2,0.818181818,2731,2364,0.536015702,70,117.3,0.348,0.392,0.583,57.1,63.7,6.6,11.1,0.551,14.1,35.6,0.257
Wright State NCAA,35,25,10,0.714,0.58,-3.64,14,4,0.777777778,14,2,0.875,8,7,0.533333333,2500,2307,0.520074891,69.9,101.4,0.358,0.348,0.529,51.8,52.7,9.4,6.5,0.491,16.3,28.9,0.256
Xavier NCAA,35,29,6,0.829,19.08,9.45,15,3,0.833333333,17,1,0.944444444,9,2,0.818181818,2953,2616,0.530256779,72.3,115.5,0.41,0.358,0.601,55.1,57.3,8,8.4,0.559,15.2,30.2,0.32
