School,G,W,L,W-L%,SRS,SOS,W,L,Conf_W-L%,W,L,Home_W-L%,W,L,Away_W-L%,Tm.,Opp.,Point_T-O%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
UC-Santa Barbara NCAA,32,18,14,0.563,1.22,0.12,8,8,0.5,9,4,0.692307692,5,8,0.384615385,2170,2105,0.507602339,65.2,102.9,0.373,0.373,0.563,49.6,61.6,11,12.2,0.523,19.1,28.4,0.281
Cincinnati NCAA,35,26,9,0.743,15.41,6.1,11,7,0.611111111,15,3,0.833333333,7,4,0.636363636,2412,2086,0.536238328,63.6,107.9,0.383,0.336,0.526,53.2,58.6,11.5,10.2,0.494,14.9,38.1,0.256
Clemson NCAA,34,22,12,0.647,13.76,6.58,9,7,0.5625,15,2,0.882352941,3,7,0.3,2330,2086,0.527626812,65.1,104.5,0.385,0.345,0.539,51.2,54.9,12.2,13.2,0.503,17.2,34.2,0.27
Connecticut NCAA,41,32,9,0.78,17.95,10.44,9,9,0.5,13,4,0.764705882,5,5,0.5,2967,2659,0.527372911,65.1,109.2,0.338,0.293,0.526,52.9,50.7,9.5,13.6,0.482,14.2,38.7,0.258
Duke NCAA,37,32,5,0.865,24.51,8.32,13,3,0.8125,17,0,1,6,4,0.6,2993,2394,0.555596807,70.2,115.2,0.374,0.353,0.576,51.9,50.9,10.4,9.7,0.537,14.7,35.1,0.282
Florida State NCAA,34,23,11,0.676,13.48,6.45,11,5,0.6875,12,3,0.8,8,5,0.615384615,2348,2109,0.526811757,69.3,99.3,0.381,0.333,0.522,53.3,51.1,12.2,17.5,0.49,19.4,35.6,0.253
Florida NCAA,37,29,8,0.784,16.27,7.57,13,3,0.8125,14,3,0.823529412,8,2,0.8,2667,2345,0.532122905,63.9,110.3,0.357,0.317,0.547,54,53.8,9.1,9.5,0.521,15.6,37.2,0.239
George Mason NCAA,34,27,7,0.794,11.66,1.37,16,2,0.888888889,14,0,1,10,3,0.769230769,2474,2124,0.538060026,64.3,111.9,0.386,0.308,0.562,51.5,55.1,10.1,8.9,0.532,14.6,32.9,0.266
Georgetown NCAA,32,21,11,0.656,14.61,10.39,10,8,0.555555556,10,4,0.714285714,7,5,0.583333333,2258,2123,0.515407441,64.8,108.5,0.334,0.371,0.572,52,59.5,9.3,11.2,0.541,18,33.7,0.245
Georgia NCAA,33,21,12,0.636,10.43,6.13,9,7,0.5625,12,4,0.75,7,4,0.636363636,2267,2125,0.516165756,64.6,104,0.366,0.25,0.53,53.4,60.1,9.7,12.8,0.495,17.2,36.8,0.255
Gonzaga NCAA,35,25,10,0.714,13.86,4.01,11,3,0.785714286,14,2,0.875,6,4,0.6,2684,2307,0.537767982,68.4,111.3,0.416,0.281,0.576,54.8,58.2,10.5,10.5,0.531,16.9,35.4,0.317
Hampton NCAA,33,24,9,0.727,-5.2,-8.77,11,5,0.6875,8,3,0.727272727,8,5,0.615384615,2197,2070,0.51488165,67.3,97.5,0.412,0.357,0.499,47,51.9,10.7,14.2,0.463,15.8,29.7,0.267
Illinois NCAA,34,20,14,0.588,16.72,11.11,9,9,0.5,14,2,0.875,3,7,0.3,2413,2222,0.520604099,66.2,106.8,0.282,0.314,0.557,51.2,63.5,8.3,12.1,0.529,16.7,31.7,0.206
Indiana State NCAA,34,20,14,0.588,3.41,2.9,12,6,0.666666667,10,3,0.769230769,6,8,0.428571429,2253,2192,0.506861642,64.8,100.8,0.377,0.362,0.533,50.8,56,9.5,12.4,0.494,18.4,30.9,0.268
Kansas State NCAA,34,23,11,0.676,14.59,8.41,10,6,0.625,16,1,0.941176471,5,5,0.5,2477,2249,0.524121879,68.8,105.9,0.427,0.325,0.531,54.7,55.8,8.9,12.1,0.499,17.6,40.9,0.28
Kansas NCAA,38,35,3,0.921,24.1,7.62,14,2,0.875,16,1,0.941176471,9,1,0.9,3084,2458,0.556477806,69.7,116,0.393,0.324,0.593,55.7,60.5,11.1,10.7,0.57,16.3,36.7,0.267
Kentucky NCAA,38,29,9,0.763,20.3,8.91,10,6,0.625,15,0,1,3,7,0.3,2845,2412,0.541183184,66.2,112.8,0.361,0.324,0.556,52.5,48.1,8.4,15.5,0.523,13.7,34.3,0.257
Long Island University NCAA,33,27,6,0.818,2.23,-5.77,16,2,0.888888889,14,2,0.875,13,3,0.8125,2730,2466,0.525404157,75.3,108.9,0.497,0.316,0.55,52.8,54.2,9.8,7.6,0.519,16.9,37.4,0.321
Louisville NCAA,35,25,10,0.714,18.6,8.2,12,6,0.666666667,19,2,0.904761905,4,6,0.4,2623,2259,0.537279803,67.8,108.6,0.299,0.407,0.548,50.1,64.1,13.5,13.5,0.526,16.1,34.8,0.198
Marquette NCAA,37,22,15,0.595,14.89,8.51,9,9,0.5,14,4,0.777777778,4,7,0.363636364,2782,2546,0.522147147,68,110.2,0.443,0.261,0.549,51.7,59,10.5,9.5,0.51,15.2,36.1,0.308
Memphis NCAA,35,25,10,0.714,6.91,3.14,10,6,0.625,17,2,0.894736842,3,6,0.333333333,2524,2392,0.513425549,69.1,103.2,0.396,0.324,0.538,50.6,57.5,12.1,13.4,0.504,18.6,35.3,0.269
Michigan State NCAA,34,19,15,0.559,13.7,11.67,9,9,0.5,12,3,0.8,3,8,0.272727273,2338,2263,0.508150402,66,103.1,0.365,0.327,0.526,52.9,62.3,9.7,13.1,0.489,17,34.5,0.256
Michigan NCAA,35,21,14,0.6,14.21,10.68,9,9,0.5,14,5,0.736842105,5,5,0.5,2328,2187,0.515614618,62.1,106.3,0.266,0.426,0.547,48.6,56.7,7.7,6,0.523,14.2,25.5,0.186
Missouri NCAA,34,23,11,0.676,14.77,6.5,8,8,0.5,17,1,0.944444444,2,7,0.222222222,2748,2435,0.530194868,72.5,110.3,0.339,0.312,0.552,48.6,56.8,13.2,12.5,0.515,14.8,33.9,0.25
Morehead State NCAA,35,25,10,0.714,2.81,-3.13,13,5,0.722222222,14,1,0.933333333,8,8,0.5,2412,2162,0.527328378,64.3,106.2,0.401,0.321,0.541,56.9,49.8,13.2,10.2,0.509,19.1,41.6,0.27
Nevada-Las Vegas NCAA,33,24,9,0.727,14.67,6,11,5,0.6875,11,4,0.733333333,8,3,0.727272727,2363,2077,0.532207207,67.3,106,0.391,0.304,0.543,51,60.5,12,10.7,0.509,16,33.1,0.27
North Carolina-Asheville NCAA,34,20,14,0.588,-0.69,-2.89,11,7,0.611111111,10,5,0.666666667,8,8,0.5,2506,2333,0.517875594,70.1,102.9,0.415,0.264,0.537,49.3,55.8,12.7,11.9,0.495,17.8,33.2,0.295
North Carolina NCAA,37,29,8,0.784,18.87,10.15,14,2,0.875,15,0,1,7,3,0.7,2868,2545,0.529835581,72.6,106.5,0.379,0.25,0.524,54,54.9,8.6,13.3,0.492,15.3,37.1,0.255
Northern Colorado NCAA,32,21,11,0.656,1.39,-2.24,13,3,0.8125,14,0,1,6,9,0.4,2287,2105,0.52071949,66.8,107,0.434,0.385,0.555,53.6,50.8,8.9,6.4,0.502,18.1,35.3,0.334
Notre Dame NCAA,34,27,7,0.794,18.17,8.43,14,4,0.777777778,17,0,1,5,4,0.555555556,2558,2227,0.534587252,64.3,115.3,0.451,0.386,0.575,53.2,66.8,7,9.6,0.535,14.1,33.4,0.327
Oakland NCAA,35,25,10,0.714,8.28,0.1,17,1,0.944444444,10,1,0.909090909,10,7,0.588235294,2992,2690,0.52657515,72.4,117.6,0.39,0.359,0.591,53.4,54,8.5,12.2,0.559,15.7,37.2,0.281
Ohio State NCAA,37,34,3,0.919,25.84,8.38,16,2,0.888888889,20,0,1,9,2,0.818181818,2854,2208,0.563808771,64.1,120,0.371,0.327,0.589,53.8,57.7,11.1,9.1,0.563,13.4,35.7,0.26
Old Dominion NCAA,34,27,7,0.794,9.03,1.76,14,4,0.777777778,14,2,0.875,7,4,0.636363636,2231,1984,0.529300119,60.7,108.1,0.376,0.276,0.518,58.6,60.4,11.3,13.2,0.485,16.4,45.4,0.251
Penn State NCAA,34,19,15,0.559,11.98,11.45,9,9,0.5,13,5,0.722222222,3,8,0.272727273,2144,2126,0.502107728,59.8,105.5,0.311,0.365,0.534,51,53.8,7.4,7.4,0.501,15.1,32.2,0.225
Pittsburgh NCAA,34,28,6,0.824,20.82,7.85,15,3,0.833333333,17,1,0.944444444,7,2,0.777777778,2514,2073,0.548070634,63.3,116.3,0.431,0.274,0.559,57.8,67.2,7.4,9,0.529,15,42.9,0.289
Princeton NCAA,32,25,7,0.781,3.71,-1.61,13,2,0.866666667,12,0,1,10,5,0.666666667,2215,2017,0.523393195,63.4,107,0.359,0.313,0.558,53.1,54.2,9.2,10.7,0.522,16.4,31.5,0.263
Purdue NCAA,34,26,8,0.765,19.36,8.69,14,4,0.777777778,16,0,1,7,5,0.583333333,2466,2103,0.539724228,66,109.5,0.344,0.33,0.542,51.4,61.5,9.4,10.5,0.507,13.5,32.4,0.246
Richmond NCAA,37,29,8,0.784,11.23,2.79,13,3,0.8125,12,3,0.8,10,3,0.769230769,2577,2265,0.532218092,63.2,109.5,0.323,0.366,0.557,48.5,59.4,9.3,10.8,0.531,14.2,28.6,0.222
Saint Peter's NCAA,34,20,14,0.588,-0.28,-1.08,11,7,0.611111111,8,3,0.727272727,8,8,0.5,2069,2042,0.503283873,65.5,92.5,0.389,0.322,0.49,49.3,53.7,11.8,12.4,0.455,19.5,32.1,0.25
San Diego State NCAA,37,34,3,0.919,17.96,6.36,14,2,0.875,14,1,0.933333333,11,1,0.916666667,2660,2192,0.548227535,63.7,112,0.305,0.298,0.543,54.9,50.4,9.6,12,0.515,14.1,38.2,0.213
Southern California NCAA,34,19,15,0.559,11.52,7.97,10,8,0.555555556,12,4,0.75,5,8,0.384615385,2252,2131,0.513803331,64.3,102.6,0.354,0.315,0.526,50.7,49.4,9.1,8.4,0.499,15.4,29.9,0.23
St. John's (NY) NCAA,33,21,12,0.636,13.1,10.01,12,6,0.666666667,12,3,0.8,5,7,0.416666667,2313,2211,0.51127321,66.5,105.1,0.442,0.241,0.539,49.5,51.7,12.1,9.2,0.495,16,32.5,0.314
Syracuse NCAA,35,27,8,0.771,18.85,8.79,12,6,0.666666667,16,3,0.842105263,6,3,0.666666667,2568,2216,0.536789298,66,110.3,0.36,0.317,0.553,52.5,60.5,13.1,18.9,0.528,15.7,36.7,0.239
Temple NCAA,34,26,8,0.765,12.35,4.23,14,2,0.875,14,0,1,7,4,0.636363636,2400,2124,0.530503979,65.5,106.6,0.338,0.3,0.532,51.8,58.9,10.3,11.3,0.5,14,32.1,0.236
Tennessee NCAA,34,19,15,0.559,11.08,8.73,8,8,0.5,10,8,0.555555556,5,4,0.555555556,2376,2296,0.508561644,67.1,103.3,0.397,0.3,0.515,52.6,52.9,10.9,10.6,0.476,16.4,37.8,0.272
Texas A&M NCAA,33,24,9,0.727,12.62,5.94,10,6,0.625,15,2,0.882352941,5,4,0.555555556,2254,2009,0.528735632,63.1,106.6,0.465,0.311,0.537,54.7,58.6,10.2,4.5,0.494,16.9,38.2,0.324
Texas-San Antonio NCAA,34,20,14,0.588,-5.8,-4.93,9,7,0.5625,11,3,0.785714286,5,10,0.333333333,2384,2363,0.502211923,68.8,102,0.414,0.356,0.532,48.9,53.6,10.3,6.5,0.491,17.1,30.4,0.292
Texas NCAA,36,28,8,0.778,20.82,7.96,13,3,0.8125,16,2,0.888888889,7,3,0.7,2701,2238,0.546871836,67.8,109.9,0.431,0.255,0.534,54.3,50.8,8.4,11.7,0.502,14.4,38.2,0.282
UCLA NCAA,34,23,11,0.676,11.7,7.93,13,5,0.722222222,16,2,0.888888889,5,5,0.5,2382,2254,0.513805004,66.8,103.8,0.443,0.29,0.539,53.1,59.4,8.1,13.6,0.502,18.5,36,0.301
Utah State NCAA,34,30,4,0.882,13.23,0.5,15,1,0.9375,17,0,1,11,3,0.785714286,2449,1995,0.551080108,64.1,111.6,0.427,0.314,0.569,55.7,59.5,7.4,9.2,0.527,15.7,34.5,0.315
Vanderbilt NCAA,34,23,11,0.676,15.1,6.86,9,7,0.5625,14,3,0.823529412,5,5,0.5,2581,2301,0.528676772,67.6,111.1,0.452,0.382,0.573,51.7,53.5,7.5,11.5,0.529,16.4,32.9,0.336
Villanova NCAA,33,21,12,0.636,15.05,8.23,9,9,0.5,13,4,0.764705882,7,5,0.583333333,2384,2159,0.524763372,65.7,109.6,0.423,0.332,0.546,53.2,56.5,9.6,10.7,0.495,15.2,35.8,0.32
Virginia Commonwealth NCAA,40,28,12,0.7,8.56,3.78,12,6,0.666666667,11,3,0.785714286,8,6,0.571428571,2864,2673,0.517247607,65.3,108.3,0.37,0.412,0.547,47,60.2,12.4,9.1,0.511,14.7,30.9,0.264
Washington NCAA,35,24,11,0.686,20.12,7.74,11,7,0.611111111,14,2,0.875,5,6,0.454545455,2907,2474,0.540234157,72,114.5,0.315,0.363,0.559,52.9,55.9,9.2,12.3,0.537,14.1,37.7,0.212
West Virginia NCAA,33,21,12,0.636,16.15,11.03,11,7,0.611111111,12,2,0.857142857,4,6,0.4,2303,2134,0.519044399,64,109,0.409,0.335,0.528,52.4,62.7,7.3,11,0.485,15.4,40.2,0.291
Wisconsin NCAA,34,25,9,0.735,18.77,9.42,13,5,0.722222222,16,0,1,5,6,0.454545455,2310,1992,0.536959554,57.3,117.7,0.295,0.412,0.56,51.9,55.4,6.2,9,0.518,11.1,32.6,0.241
Wofford NCAA,34,21,13,0.618,4.35,-1.21,14,4,0.777777778,8,4,0.666666667,8,6,0.571428571,2502,2313,0.519626168,64.6,111.3,0.42,0.266,0.563,50.8,55.2,10.1,6.9,0.53,15.4,34.1,0.291
Xavier NCAA,32,24,8,0.75,11.88,4.41,15,1,0.9375,14,1,0.933333333,7,4,0.636363636,2306,2067,0.527326778,65.3,108.7,0.445,0.309,0.56,53.3,54.1,8.2,8.7,0.512,15.8,32.4,0.332
