School,G,W,L,W-L%,SRS,SOS,W,L,Conf_W-L%,W,L,Home_W-L%,W,L,Away_W-L%,Tm.,Opp.,Point_T-O%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Akron NCAA,36,23,13,0.639,2.15,-1.02,9,7,0.5625,14,2,0.875,5,9,0.357142857,2524,2365,0.516260994,67,102.9,0.313,0.379,0.53,47.9,58.3,9.8,9.2,0.499,15.4,28.3,0.22
Alabama-Birmingham NCAA,31,22,9,0.71,8.55,2.78,12,4,0.75,13,2,0.866666667,8,5,0.615384615,2119,1940,0.522049766,63.1,105.7,0.297,0.405,0.538,51.7,55.6,8.2,8.2,0.508,16.4,33.4,0.213
Alabama State NCAA,35,17,18,0.486,-13.37,-10.31,11,7,0.611111111,10,3,0.769230769,4,14,0.222222222,2146,2234,0.489954338,66.5,91.5,0.473,0.317,0.476,50.7,55.5,10.9,13.1,0.44,19.6,35.7,0.285
Arizona NCAA,38,30,8,0.789,16.54,7.99,14,4,0.777777778,17,0,1,7,4,0.636363636,2905,2580,0.529626253,66.9,112.8,0.436,0.361,0.583,53.1,55.3,7.7,6.5,0.541,16.3,34,0.325
Little Rock NCAA,36,19,17,0.528,-4.32,-2.97,7,9,0.4375,10,5,0.666666667,3,10,0.230769231,2457,2426,0.503174278,65.4,103.3,0.423,0.317,0.528,48.9,52.5,8.9,7.4,0.488,15.5,29.9,0.292
Belmont NCAA,35,30,5,0.857,13.07,-4.42,19,1,0.95,12,0,1,12,4,0.75,2790,2178,0.561594203,69.2,114.3,0.382,0.422,0.577,52.5,60.9,13.9,9.7,0.542,16.6,37.4,0.281
Boston University NCAA,35,21,14,0.6,-2.48,-3.85,12,4,0.75,12,2,0.857142857,4,10,0.285714286,2270,2222,0.505342832,62.7,103,0.373,0.401,0.517,50.2,46.1,8.6,10.5,0.473,16,34,0.272
Brigham Young NCAA,37,32,5,0.865,18.65,5.76,14,2,0.875,13,1,0.928571429,10,1,0.909090909,3012,2512,0.54525706,71.1,113.4,0.382,0.382,0.562,51.9,52.8,11.2,9.9,0.518,13.1,31.2,0.292
Bucknell NCAA,34,25,9,0.735,2.39,-3.87,13,1,0.928571429,14,1,0.933333333,10,6,0.625,2387,2174,0.523350143,66.1,105.9,0.341,0.315,0.554,49.7,59.4,7.1,8.9,0.509,15,25.2,0.269
Butler NCAA,38,28,10,0.737,11.53,5.02,13,5,0.722222222,12,2,0.857142857,7,6,0.538461538,2707,2437,0.526244168,64.5,109,0.377,0.387,0.541,52.3,49.2,9.1,4.7,0.501,14.3,33.2,0.273
