School,G,W,L,W-L%,SRS,SOS,W,L,Conf_W-L%,W,L,Home_W-L%,W,L,Away_W-L%,Tm.,Opp.,Point_T-O%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Louisville NCAA,34,25,9,0.735,22.47,11.15,12,6,0.666666667,16,1,0.941176471,5,5,0.5,2628,2243,0.539519606,68.5,112,0.34,0.321,0.543,54.1,48.4,9.7,15.2,0.514,13.4,36.6,0.233
Marquette NCAA,32,19,13,0.594,15.26,8.6,10,8,0.555555556,14,3,0.823529412,4,6,0.4,2631,2418,0.521093286,71.1,115.2,0.31,0.415,0.607,49.6,57.1,10.1,9.3,0.576,15.5,27,0.242
Maryland NCAA,33,24,9,0.727,12.79,8.29,12,6,0.666666667,13,5,0.722222222,8,2,0.8,2438,2246,0.520495303,68.1,108.1,0.398,0.411,0.557,50.3,57.1,8,11.9,0.523,16.3,31.1,0.278
Miami (FL) NCAA,33,21,12,0.636,14.48,9.57,10,8,0.555555556,14,2,0.875,4,6,0.4,2278,2116,0.518434228,64.7,106.3,0.343,0.326,0.544,53,47.8,9.9,10.5,0.51,16.6,33.4,0.246
Michigan State NCAA,35,20,15,0.571,13.67,10.5,10,8,0.555555556,14,2,0.875,2,7,0.222222222,2515,2404,0.511282781,68.2,105.1,0.335,0.38,0.563,52.6,65.3,6.3,11.9,0.54,18,29.1,0.224
Michigan NCAA,38,26,12,0.684,18.8,10.17,10,8,0.555555556,15,3,0.833333333,3,8,0.272727273,2851,2523,0.530517306,63.8,116.5,0.301,0.451,0.601,47.9,52.6,9,7.4,0.57,12.8,24.5,0.234
Middle Tennessee NCAA,36,31,5,0.861,9.8,-0.48,17,1,0.944444444,13,2,0.866666667,11,2,0.846153846,2697,2299,0.539831865,66.4,112.4,0.304,0.299,0.567,53.9,54.4,10.1,8.3,0.543,13.6,30.7,0.212
Minnesota NCAA,34,24,10,0.706,14.56,8.82,11,7,0.611111111,17,3,0.85,5,5,0.5,2556,2361,0.519829164,70.3,104.6,0.396,0.299,0.528,50.5,57.2,7.9,15.9,0.487,14,29.6,0.281
Mount St. Mary's NCAA,36,20,16,0.556,-4.29,-3.51,14,4,0.777777778,11,4,0.733333333,8,11,0.421052632,2446,2474,0.497154472,68.4,99.1,0.324,0.369,0.536,44.5,46,9,9.6,0.51,17.1,23,0.218
Nevada NCAA,35,28,7,0.8,10.49,2.03,14,4,0.777777778,13,1,0.928571429,8,4,0.666666667,2792,2496,0.527987897,70.9,112,0.413,0.402,0.561,52.4,59.9,7.6,11,0.525,13.4,30.3,0.291
New Mexico State NCAA,34,28,6,0.824,4.66,-3.82,11,3,0.785714286,17,1,0.944444444,8,4,0.666666667,2678,2310,0.536888532,70,112.1,0.431,0.382,0.568,54.4,55.3,6.9,9.6,0.531,16.5,36.7,0.307
New Orleans NCAA,32,20,12,0.625,-4.1,-5.34,13,5,0.722222222,11,3,0.785714286,7,8,0.466666667,2331,2215,0.512758469,69.5,103.2,0.427,0.25,0.552,52.9,60.2,11.2,8.6,0.513,20.2,36.7,0.303
North Carolina Central NCAA,34,25,9,0.735,-3.18,-12.12,13,3,0.8125,11,2,0.846153846,11,6,0.647058824,2542,2159,0.540736014,68.8,108.7,0.341,0.38,0.546,51.7,52.7,8.9,8.7,0.517,14.8,32.9,0.233
North Carolina-Wilmington NCAA,35,29,6,0.829,8.06,-0.55,15,3,0.833333333,13,1,0.928571429,11,3,0.785714286,2967,2624,0.530674298,71.5,118.1,0.317,0.411,0.578,51.6,52.7,9.3,8.2,0.555,12.4,32.8,0.219
North Carolina NCAA,40,33,7,0.825,24.84,11.76,14,4,0.777777778,16,0,1,6,5,0.545454545,3377,2824,0.544589582,72.6,116,0.348,0.303,0.55,58.2,58.9,9.7,9.7,0.519,13.4,41.3,0.244
North Dakota NCAA,32,22,10,0.688,-1.83,-5.45,14,4,0.777777778,11,2,0.846153846,7,6,0.538461538,2578,2357,0.522391084,72.9,108.8,0.364,0.305,0.573,50.5,52.6,10.6,7.5,0.542,15.7,26.8,0.26
Northern Kentucky NCAA,35,24,11,0.686,-0.17,-2.84,12,6,0.666666667,12,2,0.857142857,8,7,0.533333333,2659,2507,0.514711576,70.8,107.3,0.363,0.422,0.557,53.1,52.4,8.1,7.1,0.529,16.4,31.7,0.247
Northwestern NCAA,36,24,12,0.667,14.02,8.43,10,8,0.555555556,14,4,0.777777778,5,5,0.5,2558,2357,0.520447609,66.5,106.8,0.305,0.356,0.534,50.6,59.3,7.9,13.2,0.497,13.8,30.7,0.228
Notre Dame NCAA,36,26,10,0.722,17.81,9.78,12,6,0.666666667,16,2,0.888888889,5,4,0.555555556,2783,2494,0.527382983,67.7,113.8,0.286,0.406,0.573,48.7,57.8,10.4,9.7,0.536,12.3,27.3,0.229
Oklahoma State NCAA,33,20,13,0.606,19.19,12.22,9,9,0.5,11,5,0.6875,7,5,0.583333333,2828,2589,0.522060181,72.7,117.8,0.383,0.357,0.583,52.9,50.8,10.5,8.1,0.539,15.1,38.1,0.302
Oregon NCAA,39,33,6,0.846,20.8,8.38,16,2,0.888888889,17,0,1,7,3,0.7,3076,2565,0.545293388,68.8,114.2,0.347,0.388,0.582,52.9,56.3,9.4,17.2,0.554,14.7,32.2,0.247
Princeton NCAA,30,23,7,0.767,6.57,-1.84,14,0,1,10,1,0.909090909,10,4,0.714285714,2149,1843,0.538326653,65.2,109.5,0.242,0.46,0.562,50,55.2,10.2,9.5,0.537,13.5,24.4,0.179
Providence NCAA,33,20,13,0.606,11.24,7.84,10,8,0.555555556,15,3,0.833333333,4,7,0.363636364,2319,2207,0.512372956,67.6,103.6,0.381,0.359,0.547,49.1,58.6,9.7,8.1,0.514,16.3,26.4,0.263
Purdue NCAA,35,27,8,0.771,20.13,8.79,14,4,0.777777778,15,2,0.882352941,6,4,0.6,2790,2393,0.538298283,70,112.6,0.333,0.383,0.589,54.9,65.3,7.3,6.1,0.557,16.1,30.7,0.252
Rhode Island NCAA,35,25,10,0.714,12.88,4.62,13,5,0.722222222,13,3,0.8125,7,5,0.583333333,2577,2288,0.529701953,67.4,108.8,0.392,0.323,0.538,51.8,51,9.6,15.7,0.507,14,32.8,0.262
Saint Mary's (CA) NCAA,34,29,5,0.853,16.75,2.19,16,2,0.888888889,15,2,0.882352941,10,1,0.909090909,2449,1954,0.556211674,61.3,117.6,0.278,0.414,0.602,57.2,63.1,6.9,8.5,0.578,15.2,33,0.207
Seton Hall NCAA,33,21,12,0.636,12.1,9.25,10,8,0.555555556,12,2,0.857142857,4,6,0.4,2417,2323,0.509915612,69,104.9,0.376,0.307,0.526,54.7,46.4,9.9,6.6,0.499,16.4,35.7,0.242
South Carolina NCAA,37,26,11,0.703,17.52,10.16,12,6,0.666666667,15,3,0.833333333,6,5,0.545454545,2707,2414,0.528607694,69.9,102.9,0.398,0.334,0.518,50.8,50.6,11,11.1,0.477,15.5,33.5,0.278
South Dakota State NCAA,35,18,17,0.514,-2.3,-0.66,8,8,0.5,11,3,0.785714286,3,12,0.2,2683,2697,0.498698885,69.2,109.6,0.404,0.456,0.581,50.7,52.1,7.4,7.2,0.537,16.4,27.4,0.311
Southern California NCAA,36,26,10,0.722,11.48,6.4,10,8,0.555555556,14,3,0.823529412,6,5,0.545454545,2816,2633,0.516792072,70.1,111.2,0.368,0.366,0.56,50.3,56.4,9.9,13.3,0.522,13.7,30.9,0.273
Southern Methodist NCAA,35,30,5,0.857,18.71,4.45,17,1,0.944444444,18,0,1,8,3,0.727272727,2599,2100,0.553096403,63.7,116.6,0.36,0.365,0.574,56.3,61.9,9,11.1,0.547,14.3,37.1,0.251
Texas Southern NCAA,35,23,12,0.657,-6.41,-7.81,16,2,0.888888889,10,0,1,11,11,0.5,2593,2544,0.504769321,69.7,105.5,0.442,0.345,0.531,48.4,47.5,10.2,7.3,0.48,14.3,31.6,0.325
Troy NCAA,37,22,15,0.595,-0.47,-3.36,10,8,0.555555556,10,4,0.714285714,6,10,0.375,2889,2667,0.519978402,70.1,110.9,0.393,0.403,0.565,51.8,49.3,8.5,9.8,0.528,15.3,31.6,0.285
UCLA NCAA,36,31,5,0.861,20.67,6.39,15,3,0.833333333,16,1,0.941176471,8,2,0.8,3233,2719,0.543178763,74.2,121,0.268,0.376,0.618,52.4,63.7,7.9,12.5,0.598,13.4,28.9,0.198
Vanderbilt NCAA,35,19,16,0.543,13.69,10.72,10,8,0.555555556,11,5,0.6875,5,6,0.454545455,2489,2385,0.510668855,67.1,105.6,0.348,0.486,0.563,50,55.2,6.2,9.8,0.521,16.3,24.7,0.271
Vermont NCAA,35,29,6,0.829,6.67,-3.27,16,0,1,16,1,0.941176471,11,3,0.785714286,2571,2174,0.541833509,65.4,112.4,0.341,0.325,0.58,52.8,50.5,8.7,11.4,0.554,15,30.3,0.239
Villanova NCAA,36,32,4,0.889,23.8,9.28,15,3,0.833333333,14,1,0.933333333,9,2,0.818181818,2779,2256,0.551936445,65.6,117.6,0.35,0.433,0.612,53,52.3,11,9,0.575,15,30,0.276
Virginia Commonwealth NCAA,35,26,9,0.743,11.57,3.77,14,4,0.777777778,15,1,0.9375,7,4,0.636363636,2616,2343,0.527525711,69,106.8,0.364,0.294,0.544,51.8,55.6,10.7,10.6,0.51,15.3,31.2,0.257
Virginia Tech NCAA,33,22,11,0.667,12.77,8.38,10,8,0.555555556,15,2,0.882352941,4,6,0.4,2610,2465,0.514285714,69.8,112.5,0.409,0.397,0.603,48.2,56,5.6,7,0.569,15.5,23.4,0.301
Virginia NCAA,34,23,11,0.676,20.63,10.93,11,7,0.611111111,12,4,0.75,7,5,0.583333333,2246,1916,0.539644402,60.3,107.9,0.26,0.33,0.548,52.3,56.4,9.1,13.9,0.524,13.7,28.2,0.184
Wake Forest NCAA,33,19,14,0.576,14.19,9.8,9,9,0.5,11,3,0.785714286,5,8,0.384615385,2733,2588,0.513625258,71.7,115.5,0.407,0.357,0.586,51.9,55.5,7.7,10.1,0.541,14.3,30.7,0.317
West Virginia NCAA,37,28,9,0.757,24.45,9.67,12,6,0.666666667,16,2,0.888888889,6,4,0.6,3014,2467,0.549899653,71.4,112.2,0.389,0.325,0.545,52.1,57.3,13.8,14.2,0.513,14.1,37.7,0.266
Wichita State NCAA,36,31,5,0.861,21.24,2.96,17,1,0.944444444,16,1,0.941176471,9,1,0.9,2916,2246,0.564897327,69.4,116.7,0.401,0.364,0.579,56.1,59.1,9.4,11.4,0.543,13.9,34.3,0.294
Winthrop NCAA,33,26,7,0.788,1.34,-6.12,15,3,0.833333333,13,3,0.8125,12,3,0.8,2615,2322,0.529673891,71.5,108.3,0.37,0.429,0.568,50.3,47.5,8.9,13.1,0.535,15.7,27.1,0.266
Wisconsin NCAA,37,27,10,0.73,19.4,9.4,12,6,0.666666667,15,2,0.882352941,5,5,0.5,2678,2308,0.537103891,64.5,110.7,0.329,0.369,0.542,54.7,51.9,10.3,9.8,0.521,14.3,35.7,0.212
Xavier NCAA,38,24,14,0.632,14.8,11.51,9,9,0.5,12,4,0.75,4,8,0.333333333,2836,2711,0.511267352,68.2,109,0.411,0.361,0.552,54.4,57.1,8.8,7.7,0.519,15.7,34.5,0.283
