School,G,W,L,W-L%,SRS,SOS,W,L,Conf_W-L%,W,L,Home_W-L%,W,L,Away_W-L%,Tm.,Opp.,Point_T-O%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Arizona NCAA,37,32,5,0.865,18.25,7.63,16,2,0.888888889,15,1,0.9375,9,1,0.9,2833,2440,0.537265314,67.3,113.8,0.405,0.305,0.58,55.1,51.3,8.1,8.8,0.537,14.5,33.1,0.31
Arkansas NCAA,36,26,10,0.722,14.04,8.6,12,6,0.666666667,15,3,0.833333333,6,5,0.545454545,2855,2659,0.517772942,71.7,110.7,0.381,0.295,0.558,49.5,49.8,10.8,12.4,0.514,14.3,31.7,0.29
Baylor NCAA,35,27,8,0.771,19.75,11.87,12,6,0.666666667,15,2,0.882352941,6,4,0.6,2550,2228,0.533696107,65.3,111.5,0.338,0.328,0.562,56.5,59.1,7.9,13,0.53,17.1,40.2,0.244
Bucknell NCAA,35,26,9,0.743,5.89,-2.48,15,3,0.833333333,14,2,0.875,9,6,0.6,2669,2376,0.529038652,70.7,107.9,0.372,0.384,0.578,50.6,54.1,10.2,9.7,0.553,16.8,26.7,0.253
Butler NCAA,34,25,9,0.735,17.7,10.23,12,6,0.666666667,13,3,0.8125,7,4,0.636363636,2595,2341,0.525729335,67.3,112.6,0.371,0.376,0.581,50.6,50,8.9,8.4,0.546,13.4,27.1,0.275
UC-Davis NCAA,36,23,13,0.639,-5.21,-4.68,11,5,0.6875,11,0,1,6,9,0.4,2525,2506,0.501888293,70.2,98.9,0.412,0.316,0.526,50.8,52.8,7.9,9,0.49,17.6,28.9,0.278
Cincinnati NCAA,36,30,6,0.833,18.43,5.49,16,2,0.888888889,18,0,1,8,3,0.727272727,2674,2208,0.547726342,65.1,113.3,0.325,0.361,0.547,53.3,57.5,11.1,13.9,0.52,12.9,35.5,0.223
Creighton NCAA,35,25,10,0.714,17.27,8.95,10,8,0.555555556,13,4,0.764705882,7,4,0.636363636,2864,2549,0.529096619,72.9,112.3,0.277,0.358,0.592,49.3,55.5,8.4,7.6,0.576,15.2,24.8,0.189
Dayton NCAA,32,24,8,0.75,12.98,4.27,15,3,0.833333333,15,1,0.9375,7,3,0.7,2428,2126,0.533157664,69.4,108.9,0.436,0.381,0.571,49.7,61,11.2,11.9,0.538,15,25.8,0.301
Duke NCAA,37,28,9,0.757,21.56,10.91,11,7,0.611111111,15,1,0.9375,4,6,0.4,2991,2597,0.535254116,69.9,115.7,0.393,0.383,0.588,51.9,47.5,8.7,10.9,0.548,14.2,31.6,0.299
East Tennessee State NCAA,35,27,8,0.771,7.31,-2.11,14,4,0.777777778,13,2,0.866666667,8,5,0.615384615,2782,2438,0.532950192,71.4,110.2,0.432,0.352,0.587,53.1,53.8,11.6,13.6,0.555,18,31.3,0.304
Florida Gulf Coast NCAA,34,26,8,0.765,2.26,-3.42,12,2,0.857142857,16,3,0.842105263,10,3,0.769230769,2701,2356,0.534111133,69.3,113.8,0.329,0.315,0.579,53.9,52.3,8.7,9.7,0.554,15.3,33.9,0.231
Florida State NCAA,35,26,9,0.743,18.87,8.87,12,6,0.666666667,18,0,1,3,6,0.333333333,2873,2523,0.532431431,72.6,113.1,0.384,0.313,0.566,52.7,49.3,10.2,13.7,0.537,14.1,33.6,0.265
Florida NCAA,36,27,9,0.75,22.4,11.01,14,4,0.777777778,9,1,0.9,8,4,0.666666667,2804,2394,0.539438245,70.1,110,0.402,0.366,0.556,51.3,47.2,10.7,11.8,0.516,14.6,31.8,0.293
Gonzaga NCAA,39,37,2,0.949,25.26,4.13,17,1,0.944444444,15,1,0.9375,10,0,1,3222,2398,0.573309609,70.9,116.4,0.39,0.329,0.596,54.7,51.8,9.6,11.2,0.567,14.2,29.8,0.28
Iona NCAA,35,22,13,0.629,1.08,-2.47,12,8,0.6,8,4,0.666666667,7,7,0.5,2813,2689,0.51126863,72.3,109.9,0.31,0.4,0.569,48.2,55.3,9.3,7.7,0.534,14.6,26.9,0.238
Iowa State NCAA,35,24,11,0.686,20.51,11.94,12,6,0.666666667,12,3,0.8,5,6,0.454545455,2829,2529,0.527995521,70.6,112.5,0.276,0.393,0.572,47.7,53.6,10.8,8.9,0.55,12.6,25.6,0.194
Jacksonville State NCAA,35,20,15,0.571,-2.85,-3.24,9,7,0.5625,5,5,0.5,10,9,0.526315789,2434,2378,0.505818786,65.3,105.7,0.346,0.367,0.559,52.7,57.5,6.8,10.8,0.528,18,31.5,0.247
Kansas State NCAA,35,21,14,0.6,14.8,10.48,8,10,0.444444444,11,5,0.6875,5,6,0.454545455,2523,2372,0.515423902,67.5,106.4,0.412,0.363,0.56,49.2,60,11.4,10.3,0.527,16.8,29.5,0.286
Kansas NCAA,36,31,5,0.861,23.53,12.23,16,2,0.888888889,14,1,0.933333333,10,1,0.909090909,2995,2588,0.536449937,71.4,115.4,0.36,0.359,0.583,53,54.5,9.6,11.2,0.561,15.1,33.9,0.244
Kent State NCAA,36,22,14,0.611,0.88,-1.63,10,8,0.555555556,10,6,0.625,7,5,0.583333333,2772,2628,0.513333333,70.7,107,0.328,0.349,0.521,54,45.5,8.9,9.7,0.484,14.9,38.7,0.236
Kentucky NCAA,38,32,6,0.842,23.88,10.49,16,2,0.888888889,15,2,0.882352941,7,3,0.7,3225,2716,0.542837906,74.3,113.8,0.409,0.316,0.564,53.2,51.6,8.1,13,0.529,13.4,33.2,0.288
