School,G,W,L,W-L%,SRS,SOS,W,L,Conf_W-L%,W,L,Home_W-L%,W,L,Away_W-L%,Tm.,Opp.,Point_T-O%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Akron NCAA,33,26,7,0.788,8.11,0.18,14,2,0.875,15,1,0.9375,7,4,0.636363636,2369,2071,0.533558559,66.4,106.5,0.362,0.368,0.539,51.9,56.9,10.4,14.7,0.516,17.3,37.7,0.233
Albany (NY) NCAA,35,24,11,0.686,-0.87,-4.53,9,7,0.5625,11,4,0.733333333,11,5,0.6875,2251,2123,0.514631916,62.8,102.1,0.4,0.329,0.541,48.9,51.8,8.7,5.9,0.496,18.4,31.7,0.295
Arizona NCAA,35,27,8,0.771,17.3,7.47,12,6,0.666666667,14,2,0.875,7,4,0.636363636,2570,2226,0.535863219,66.8,109.5,0.374,0.375,0.565,52.7,54.1,10,10.2,0.525,16.8,35,0.28
Belmont NCAA,33,26,7,0.788,10.37,-0.96,14,2,0.875,13,0,1,9,4,0.692307692,2533,2129,0.543329043,68.1,112.3,0.328,0.395,0.594,46.8,57,14.3,8,0.567,17.1,29.9,0.24
Boise State NCAA,32,21,11,0.656,9.44,5.27,9,7,0.5625,14,1,0.933333333,5,8,0.384615385,2343,2095,0.527940514,66.3,109.9,0.334,0.356,0.565,51.1,51.3,9.9,5.4,0.53,15.7,31.5,0.249
Bucknell NCAA,34,28,6,0.824,6.95,-1.96,12,2,0.857142857,14,1,0.933333333,12,4,0.75,2277,1966,0.536648598,62.6,107,0.361,0.242,0.538,52.3,55.6,5.5,10.8,0.496,13.2,29.3,0.268
Butler NCAA,36,27,9,0.75,10.99,6.08,11,5,0.6875,14,2,0.875,7,4,0.636363636,2495,2299,0.520442219,64.9,106.4,0.385,0.356,0.546,53.4,53.5,8.8,7,0.512,17.2,36.3,0.268
University of California NCAA,33,21,12,0.636,10.65,7.77,12,6,0.666666667,11,5,0.6875,6,5,0.545454545,2218,2123,0.510942179,66.5,100.7,0.312,0.236,0.515,50,56.2,8.7,11.4,0.48,16.2,32.5,0.223
Cincinnati NCAA,34,22,12,0.647,14.46,6.93,9,9,0.5,13,5,0.722222222,4,5,0.444444444,2262,2006,0.529990628,64.9,101.4,0.355,0.371,0.493,51.7,52.5,10.8,16.1,0.462,15.8,38.7,0.229
Colorado State NCAA,35,26,9,0.743,13.65,5.89,11,5,0.6875,16,1,0.941176471,6,6,0.5,2553,2229,0.533877039,64.6,112.6,0.436,0.271,0.539,56.9,50.5,7.1,6.4,0.495,14.1,41.2,0.312
