School,G,W,L,W-L%,SRS,SOS,W,L,Conf_W-L%,W,L,Home_W-L%,W,L,Away_W-L%,Tm.,Opp.,Point_T-O%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Colorado NCAA,33,21,12,0.636,11.95,7.95,10,8,0.555555556,12,3,0.8,5,7,0.416666667,2230,2098,0.515249538,65.7,101.4,0.409,0.289,0.522,50.2,42.3,10.5,8.6,0.483,17.1,33.6,0.281
Creighton NCAA,36,28,8,0.778,16.44,5.16,13,5,0.722222222,15,2,0.882352941,7,5,0.583333333,2680,2274,0.540976988,65,114.5,0.342,0.394,0.612,51.6,64.6,7.4,6.6,0.582,16.8,28.8,0.26
Davidson NCAA,34,26,8,0.765,7.27,-3.45,17,1,0.944444444,12,1,0.923076923,9,4,0.692307692,2490,2110,0.541304348,64.8,112.7,0.388,0.383,0.58,49.3,56.5,8.6,7.6,0.532,14.7,29,0.309
Duke NCAA,36,30,6,0.833,21.43,9.54,14,4,0.777777778,16,0,1,5,4,0.555555556,2778,2350,0.541731669,68.2,113.1,0.392,0.333,0.576,47.3,53.6,9.4,9,0.539,13.7,28.8,0.289
Florida Gulf Coast NCAA,37,26,11,0.703,2.76,-2.07,13,5,0.722222222,15,1,0.9375,6,9,0.4,2696,2469,0.521974831,69.5,103.8,0.348,0.342,0.548,48.3,53.6,12.7,10.5,0.521,18.1,32.2,0.235
Florida NCAA,37,29,8,0.784,23.86,6.83,14,4,0.777777778,15,0,1,7,5,0.583333333,2642,2012,0.567683713,62.9,113.5,0.31,0.395,0.573,51.4,56.3,11.4,9.4,0.552,14.8,33.4,0.21
Georgetown NCAA,32,25,7,0.781,15.84,7.59,14,4,0.777777778,16,1,0.941176471,6,3,0.666666667,2070,1806,0.534055728,62.4,102,0.368,0.329,0.541,48.4,64.3,11.8,11.3,0.511,17.6,30.4,0.25
Gonzaga NCAA,35,32,3,0.914,20.47,4.18,16,0,1,15,1,0.9375,10,1,0.909090909,2696,2095,0.56272177,65.3,118,0.402,0.315,0.585,53.3,55.2,12.1,8.2,0.555,14.6,37.8,0.283
Harvard NCAA,30,20,10,0.667,3.95,0.16,11,3,0.785714286,13,1,0.928571429,6,8,0.428571429,2049,1924,0.515731186,63.8,105.6,0.489,0.337,0.583,46.3,57.9,11.2,11,0.542,18.5,26,0.354
Illinois NCAA,36,23,13,0.639,13.23,10.08,8,10,0.444444444,12,4,0.75,6,6,0.5,2465,2332,0.513862831,65.5,104.2,0.31,0.419,0.516,46.6,42.5,10.4,11.5,0.479,14.7,33.1,0.225
Indiana NCAA,36,29,7,0.806,24.9,8.38,14,4,0.777777778,17,2,0.894736842,7,2,0.777777778,2831,2236,0.558713243,67.1,116.3,0.459,0.323,0.59,53.3,54,10.5,9.3,0.548,16.3,39,0.341
Iona NCAA,34,20,14,0.588,4.04,-0.02,11,7,0.611111111,11,1,0.916666667,5,9,0.357142857,2733,2595,0.51295045,70.5,111.1,0.327,0.366,0.562,47.1,54.7,9,7.4,0.521,14.7,32.8,0.255
Iowa State NCAA,35,23,12,0.657,14.5,6.13,11,7,0.611111111,16,1,0.941176471,4,7,0.363636364,2779,2486,0.527825261,70,111.7,0.33,0.438,0.569,51.2,58.2,9,7,0.538,15.9,34.2,0.241
James Madison NCAA,36,21,15,0.583,-1.73,-2.28,11,7,0.611111111,10,4,0.714285714,4,9,0.307692308,2346,2326,0.502140411,64.1,100.9,0.368,0.324,0.514,46.2,51.7,11.7,13.5,0.476,15,29.6,0.257
Kansas State NCAA,35,27,8,0.771,13.53,6.53,14,4,0.777777778,15,1,0.9375,7,3,0.7,2414,2115,0.533009494,63.6,108.4,0.315,0.329,0.524,50.6,63.9,11.1,10.3,0.495,14.9,38.7,0.216
Kansas NCAA,37,31,6,0.838,20.79,7.54,14,4,0.777777778,16,1,0.941176471,7,3,0.7,2782,2292,0.548285376,67.8,109.1,0.395,0.29,0.572,52.6,58.4,10.2,17.6,0.533,17.5,33.8,0.291
La Salle NCAA,34,24,10,0.706,10.14,4.46,11,5,0.6875,13,2,0.866666667,8,6,0.571428571,2450,2257,0.520501381,66.5,107.6,0.313,0.36,0.552,44.6,55.2,11.6,8.3,0.519,15,29,0.231
Liberty NCAA,36,15,21,0.417,-9.13,-5.8,6,10,0.375,8,7,0.533333333,4,11,0.266666667,2489,2519,0.497004792,66.6,102.7,0.394,0.342,0.536,47.2,52.9,8.1,7.6,0.493,17.1,29.7,0.288
Long Island University NCAA,34,20,14,0.588,-3.21,-5.8,12,6,0.666666667,12,2,0.857142857,7,9,0.4375,2677,2589,0.508355488,70,111.6,0.456,0.339,0.576,48.6,56.3,9.7,8.3,0.544,17.3,35.2,0.315
Louisville NCAA,40,35,5,0.875,24.81,9.13,14,4,0.777777778,15,1,0.9375,8,3,0.727272727,2978,2351,0.558829049,66.4,110.3,0.4,0.3,0.544,51.1,55.7,15.9,12.1,0.506,15.3,38.2,0.283
Marquette NCAA,35,26,9,0.743,14.04,8.58,14,4,0.777777778,16,0,1,5,6,0.454545455,2382,2191,0.520883446,63.4,105.9,0.409,0.27,0.541,50.8,57.4,10.3,10,0.496,17.6,38.3,0.299
Memphis NCAA,36,31,5,0.861,12.26,2.7,16,0,1,17,1,0.944444444,9,1,0.9,2681,2337,0.534276604,69.5,106.3,0.372,0.286,0.55,50.8,62,12.7,16.3,0.524,17.7,35.6,0.246
Miami (FL) NCAA,36,29,7,0.806,16.99,7.88,15,3,0.833333333,14,1,0.933333333,10,3,0.769230769,2509,2181,0.534968017,64,108.5,0.346,0.356,0.548,50.1,45.6,9.6,12.3,0.519,14.1,30.6,0.236
Michigan State NCAA,36,27,9,0.75,18.64,10.55,13,5,0.722222222,17,1,0.944444444,6,5,0.545454545,2448,2129,0.534848154,64.7,105.1,0.37,0.272,0.542,53.3,53.7,12.4,10.9,0.505,17.8,36.4,0.264
Michigan NCAA,39,31,8,0.795,21.28,10.05,12,6,0.666666667,17,1,0.944444444,5,5,0.5,2932,2467,0.54306353,64.1,116.1,0.284,0.34,0.572,49.9,51.7,9.5,7.3,0.549,12.5,32.7,0.199
Middle Tennessee NCAA,34,28,6,0.824,11.16,-1.52,19,1,0.95,15,0,1,11,3,0.785714286,2405,1974,0.549212149,65.6,107.1,0.414,0.262,0.548,52.3,56.7,10.6,11,0.511,17.4,36.5,0.288
Minnesota NCAA,34,21,13,0.618,16.83,10.31,8,10,0.444444444,15,2,0.882352941,3,8,0.272727273,2337,2115,0.524932615,63.5,107.8,0.416,0.297,0.531,53.1,61.7,11.7,15.8,0.493,17.5,43.6,0.285
Mississippi NCAA,36,27,9,0.75,14.42,4.14,12,6,0.666666667,16,1,0.941176471,6,6,0.5,2779,2409,0.535659214,70.5,108.4,0.388,0.33,0.526,48.1,46.1,11.6,13.7,0.491,13,33.6,0.263
Missouri NCAA,34,23,11,0.676,15.41,6,11,7,0.611111111,17,0,1,2,8,0.2,2588,2268,0.532948929,68.2,110.7,0.35,0.315,0.551,53.7,51.1,9.8,9.1,0.512,15.8,38.7,0.261
Montana NCAA,32,25,7,0.781,-1.11,-4.21,19,1,0.95,15,1,0.9375,10,4,0.714285714,2238,2096,0.516382095,63.8,107.5,0.398,0.36,0.576,46.4,53.3,9,8.3,0.532,16.7,25.9,0.305
Nevada-Las Vegas NCAA,35,25,10,0.714,12.92,5.71,10,6,0.625,17,2,0.894736842,6,6,0.5,2498,2206,0.531037415,68.9,103.2,0.373,0.344,0.53,52,64.4,10.5,14.6,0.492,17.1,33.8,0.262
New Mexico State NCAA,35,24,11,0.686,5.11,0.7,14,4,0.777777778,15,1,0.9375,6,8,0.428571429,2355,2175,0.51986755,65.2,102.5,0.462,0.24,0.528,53.1,48.2,8.6,14.1,0.493,18.5,37.3,0.303
New Mexico NCAA,35,29,6,0.829,13.28,6.63,13,3,0.8125,15,1,0.9375,8,4,0.666666667,2355,2122,0.52602189,64.7,103.3,0.457,0.347,0.533,49.4,65.8,9.6,11.3,0.484,15.4,29.3,0.329
North Carolina A&T NCAA,37,20,17,0.541,-6.94,-6.3,8,8,0.5,9,3,0.75,5,12,0.294117647,2299,2291,0.50087146,67.1,92.3,0.42,0.367,0.497,46.4,52.2,10.5,13.6,0.458,19.6,30,0.276
North Carolina State NCAA,35,24,11,0.686,14.32,7.17,11,7,0.611111111,16,1,0.941176471,3,7,0.3,2708,2458,0.524196671,68.6,112.4,0.409,0.237,0.571,50.2,51.9,9.4,10.1,0.542,15.4,34.7,0.279
North Carolina NCAA,36,25,11,0.694,14.52,8.01,12,6,0.666666667,14,2,0.875,7,6,0.538461538,2762,2492,0.525694709,71.6,106.8,0.282,0.312,0.525,48.6,60.2,11.7,8.1,0.499,14.1,34.4,0.19
Northwestern State NCAA,32,23,9,0.719,0.41,-3.77,15,3,0.833333333,13,1,0.928571429,8,7,0.533333333,2559,2285,0.528282411,74.4,107.5,0.386,0.3,0.539,47.6,53.2,12.9,10.6,0.505,15.9,35.3,0.265
Notre Dame NCAA,35,25,10,0.714,13.74,7.22,11,7,0.611111111,17,2,0.894736842,4,5,0.444444444,2450,2222,0.524400685,62,109.8,0.32,0.32,0.551,50.6,65.8,7.8,9.3,0.522,15,34,0.227
Ohio State NCAA,37,29,8,0.784,20.19,9.32,13,5,0.722222222,16,2,0.888888889,5,5,0.5,2599,2197,0.541909925,64.3,108.9,0.354,0.31,0.541,50.5,53.1,10.4,12.9,0.506,13.6,31.1,0.251
Oklahoma State NCAA,33,24,9,0.727,15.57,6.73,13,5,0.722222222,15,2,0.882352941,5,5,0.5,2371,2079,0.532808989,67.3,104.8,0.405,0.313,0.536,49.1,48.9,11,12.8,0.488,15.7,31.3,0.302
Oklahoma NCAA,32,20,12,0.625,11.4,7.09,12,7,0.631578947,12,2,0.857142857,5,7,0.416666667,2260,2122,0.515746235,66.8,104.9,0.354,0.267,0.524,48.7,49.1,9.6,7.4,0.478,14.8,33.2,0.268
Oregon NCAA,37,28,9,0.757,13.82,5.77,12,6,0.666666667,17,2,0.894736842,6,5,0.545454545,2650,2352,0.529788085,68.8,102.4,0.383,0.273,0.531,52.5,51.3,12.1,10.2,0.493,18.2,35.7,0.27
Pacific NCAA,35,22,13,0.629,1.96,1.05,13,5,0.722222222,13,2,0.866666667,4,9,0.307692308,2344,2238,0.511567001,63.3,105.4,0.372,0.321,0.542,47.8,61.9,8.7,4.2,0.509,15.3,29.5,0.256
Pittsburgh NCAA,33,24,9,0.727,18.82,5.63,12,6,0.666666667,16,3,0.842105263,6,3,0.666666667,2282,1847,0.552676193,60.4,113.2,0.375,0.263,0.546,53.1,64.2,10.8,12.7,0.517,14.8,40.4,0.251
Saint Louis NCAA,35,28,7,0.8,14.33,4.28,13,3,0.8125,17,2,0.894736842,6,3,0.666666667,2388,2036,0.539783002,64.5,105,0.44,0.341,0.545,47.3,56.1,11.7,8.3,0.504,14.9,27.4,0.31
Saint Mary's (CA) NCAA,35,28,7,0.8,14.51,3.31,14,2,0.875,16,1,0.941176471,9,2,0.818181818,2610,2203,0.542281321,64.5,115.2,0.368,0.375,0.573,54.5,55.2,9.4,7.6,0.54,15.4,37.1,0.267
San Diego State NCAA,34,23,11,0.676,13.01,6.19,9,7,0.5625,14,1,0.933333333,4,6,0.4,2356,2077,0.531468531,66.6,103.7,0.364,0.323,0.524,50.4,50.7,10.3,12,0.491,15.4,32.3,0.248
South Dakota State NCAA,35,25,10,0.714,2.36,-3.27,13,3,0.8125,13,0,1,7,9,0.4375,2568,2300,0.527526705,64,113.1,0.324,0.358,0.574,51.3,55.6,7.7,6.1,0.539,14,29.8,0.247
Southern NCAA,33,23,10,0.697,-2.61,-10.31,15,3,0.833333333,12,0,1,8,8,0.5,2223,1890,0.5404814,65.4,103,0.392,0.352,0.533,46.9,49.4,11.3,10.8,0.497,14.7,26.4,0.27
Syracuse NCAA,40,30,10,0.75,20.3,8.57,11,7,0.611111111,17,2,0.894736842,5,5,0.5,2816,2347,0.54541933,65.2,107.3,0.368,0.304,0.523,49.7,55.8,13.7,19.3,0.49,15.5,38.8,0.248
Temple NCAA,34,24,10,0.706,9.52,5.2,11,5,0.6875,14,3,0.823529412,8,4,0.666666667,2456,2309,0.515424974,67.6,106.8,0.356,0.373,0.529,46.5,58.4,11.6,9.5,0.49,13.6,30.8,0.257
UCLA NCAA,35,25,10,0.714,12.88,7.82,13,5,0.722222222,15,3,0.833333333,6,3,0.666666667,2604,2427,0.517590936,69.6,105.4,0.331,0.241,0.528,46.6,58.2,11.5,8.4,0.491,13.7,30.7,0.24
Valparaiso NCAA,34,26,8,0.765,7.15,-1.13,13,3,0.8125,15,2,0.882352941,10,5,0.666666667,2420,2119,0.533157083,65.1,108.9,0.42,0.4,0.594,50.5,56.7,10.4,8.6,0.559,19.3,31.2,0.307
Villanova NCAA,34,20,14,0.588,10.74,8.53,10,8,0.555555556,12,4,0.75,6,7,0.461538462,2307,2214,0.510285335,67.4,98.8,0.505,0.351,0.529,49.8,56.4,11.3,9.9,0.474,19.6,33,0.363
Virginia Commonwealth NCAA,36,27,9,0.75,16.89,4.47,12,4,0.75,15,2,0.882352941,8,3,0.727272727,2770,2323,0.543883762,68.6,111.4,0.298,0.357,0.541,48,51.6,17,8.9,0.513,13.7,36,0.209
Western Kentucky NCAA,36,20,16,0.556,-0.65,-1.14,10,10,0.5,11,4,0.733333333,4,9,0.307692308,2409,2364,0.504714016,67,99.5,0.385,0.362,0.52,50.3,47.8,9.2,8.7,0.485,18.8,35.1,0.26
Wichita State NCAA,39,30,9,0.769,14.68,6.09,12,6,0.666666667,14,2,0.875,7,5,0.583333333,2720,2385,0.53281097,64.9,107.5,0.365,0.353,0.535,53.2,55.6,11.4,13.5,0.5,16.2,38,0.255
Wisconsin NCAA,35,23,12,0.657,18.76,9.73,12,6,0.666666667,15,3,0.833333333,5,6,0.454545455,2274,1958,0.537334594,61.4,104.4,0.297,0.401,0.508,50.8,56.5,9.2,10.8,0.486,13,32.4,0.188
