School,G,W,L,W-L%,SRS,SOS,W,L,Conf_W-L%,W,L,Home_W-L%,W,L,Away_W-L%,Tm.,Opp.,Point_T-O%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Arizona NCAA,34,25,9,0.735,18.79,7.23,12,6,0.666666667,17,1,0.944444444,5,5,0.5,2735,2342,0.538703959,69.8,112.8,0.438,0.294,0.575,56.5,51.3,6.8,11.3,0.536,15.7,34.9,0.316
Little Rock NCAA,35,30,5,0.857,7.12,-1.76,17,3,0.85,14,0,1,12,4,0.75,2487,2129,0.538778163,64.5,109,0.315,0.354,0.553,50.1,50.9,10.1,9.6,0.52,13.6,27.9,0.229
Austin Peay NCAA,36,18,18,0.5,-6.04,-2.98,7,9,0.4375,7,7,0.5,7,9,0.4375,2740,2765,0.497729337,70.5,106.4,0.457,0.315,0.549,51.8,50.7,9.7,7.7,0.516,16.8,33,0.306
Baylor NCAA,34,22,12,0.647,16.13,9.76,10,8,0.555555556,15,5,0.75,6,5,0.545454545,2621,2366,0.525566473,67.6,112.8,0.375,0.286,0.555,55.6,64.6,11.6,11.2,0.518,15.5,40.1,0.272
Buffalo NCAA,35,20,15,0.571,1.34,0.9,10,8,0.555555556,10,5,0.666666667,5,9,0.357142857,2709,2634,0.507018529,72.6,105.9,0.414,0.37,0.54,51.7,48.2,9.4,9.2,0.499,15.9,32.2,0.294
Butler NCAA,33,22,11,0.667,16.46,7.55,10,8,0.555555556,13,3,0.8125,5,5,0.5,2638,2344,0.529506222,69.8,114.1,0.393,0.305,0.564,52.3,51,9.8,8.9,0.526,12.5,32.1,0.287
Cal State Bakersfield NCAA,33,24,9,0.727,2.58,-5.15,11,3,0.785714286,14,1,0.933333333,7,7,0.5,2405,2104,0.533377689,68.4,105.8,0.374,0.27,0.527,52.8,59,11.6,14.2,0.497,15.1,34.6,0.245
University of California NCAA,34,23,11,0.676,15.39,7.87,12,6,0.666666667,18,0,1,4,7,0.363636364,2545,2289,0.526479106,68.2,108.5,0.417,0.337,0.55,54.5,48.3,5.9,10.9,0.522,15.3,32.6,0.274
Chattanooga NCAA,35,29,6,0.829,3.24,-3.46,15,3,0.833333333,13,1,0.928571429,10,4,0.714285714,2652,2364,0.528708134,68.1,110.5,0.413,0.371,0.565,52.3,56.2,11.3,13.1,0.524,15.7,32.6,0.304
Cincinnati NCAA,33,22,11,0.667,15.19,5.25,12,6,0.666666667,14,3,0.823529412,6,6,0.5,2418,2090,0.536379769,65.5,108.9,0.332,0.366,0.527,53.2,59.7,11.6,15.5,0.493,13.7,36.6,0.234
Colorado NCAA,34,22,12,0.647,12.04,7.64,10,8,0.555555556,16,1,0.941176471,4,7,0.363636364,2576,2407,0.516957656,70.8,106.3,0.398,0.319,0.534,55.7,53.3,7.3,11.6,0.488,15.8,35.3,0.293
Connecticut NCAA,36,25,11,0.694,15.89,6.28,11,7,0.611111111,14,3,0.823529412,6,4,0.6,2631,2285,0.535191212,66.1,109,0.296,0.336,0.555,51.1,51.8,8.7,14,0.516,14,28.5,0.235
Dayton NCAA,33,25,8,0.758,11.34,4.76,14,4,0.777777778,14,3,0.823529412,8,2,0.8,2393,2176,0.523746991,68.6,104.5,0.408,0.35,0.546,53.2,57.4,8.6,12.2,0.516,16.3,28.7,0.272
Duke NCAA,36,25,11,0.694,19.23,10.59,11,7,0.611111111,15,3,0.833333333,5,4,0.555555556,2920,2609,0.528124435,68.4,117.7,0.405,0.398,0.573,49.5,48.6,9.1,9.8,0.537,12.2,33,0.293
Fairleigh Dickinson NCAA,33,18,15,0.545,-10.9,-8.31,11,7,0.611111111,9,6,0.6,9,8,0.529411765,2558,2600,0.495928655,72.4,105.8,0.327,0.324,0.546,46.3,50.8,10.3,7.2,0.517,15.3,28.6,0.228
Florida Gulf Coast NCAA,35,21,14,0.6,-0.79,-3.82,8,6,0.571428571,16,4,0.8,4,8,0.333333333,2703,2473,0.522217929,69.7,108.1,0.369,0.25,0.546,53.5,47.9,9.2,10.3,0.523,15,32.9,0.238
