School,G,W,L,W-L%,SRS,SOS,W,L,Conf_W-L%,W,L,Home_W-L%,W,L,Away_W-L%,Tm.,Opp.,Point_T-O%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Fresno State NCAA,35,25,10,0.714,5.27,2.24,13,5,0.722222222,16,2,0.888888889,6,7,0.461538462,2630,2475,0.515181195,70.1,105.7,0.379,0.3,0.524,50.4,50.3,11.9,11.8,0.487,13.1,31.1,0.263
Gonzaga NCAA,36,28,8,0.778,16.92,4.23,15,3,0.833333333,11,4,0.733333333,9,2,0.818181818,2840,2360,0.546153846,68.1,115.4,0.34,0.355,0.587,55.2,49.6,7.5,7.7,0.553,14.7,32.3,0.258
Green Bay NCAA,36,23,13,0.639,1.16,-0.67,11,7,0.611111111,11,3,0.785714286,8,9,0.470588235,3013,2880,0.511284575,77.3,107.1,0.429,0.311,0.533,48.7,47.8,12.7,11.1,0.5,13.5,30.9,0.282
Hampton NCAA,32,21,11,0.656,-8.74,-8.45,13,3,0.8125,9,2,0.818181818,8,7,0.533333333,2363,2370,0.499260511,71.7,101,0.414,0.345,0.502,53.1,47,7.2,9,0.464,15.7,34.6,0.273
Hawaii NCAA,34,28,6,0.824,9.03,-1.04,13,3,0.8125,16,3,0.842105263,7,2,0.777777778,2620,2267,0.536116227,71.6,107.3,0.449,0.379,0.555,53,58.8,10.5,10,0.52,15.8,31.1,0.307
Holy Cross NCAA,35,15,20,0.429,-11.2,-6.11,5,13,0.277777778,8,6,0.571428571,5,13,0.277777778,2267,2445,0.481112054,64.6,98.4,0.361,0.409,0.515,45.6,61.9,9.5,7.8,0.479,14.9,23.1,0.248
Indiana NCAA,35,27,8,0.771,19.59,6.9,15,3,0.833333333,17,0,1,6,4,0.6,2891,2447,0.54158861,69.1,119.2,0.338,0.409,0.612,54.9,54.8,9.9,9.8,0.587,16.7,37,0.248
Iona NCAA,33,22,11,0.667,3.59,-1.78,16,4,0.8,11,2,0.846153846,8,6,0.571428571,2628,2451,0.51742469,72.5,109.5,0.324,0.44,0.566,49.7,60,10.3,10.6,0.538,15.4,29.2,0.23
Iowa State NCAA,35,23,12,0.657,16.93,10.16,10,8,0.555555556,14,2,0.875,4,7,0.363636364,2862,2625,0.521596501,71.5,113.1,0.261,0.351,0.59,49.7,53.1,8.6,9.8,0.571,14.1,26.1,0.183
Iowa NCAA,33,22,11,0.667,17.01,8.71,12,6,0.666666667,13,2,0.866666667,6,5,0.545454545,2561,2287,0.528259076,69.1,111.5,0.33,0.355,0.546,50.6,57.7,9.7,12.5,0.513,12.6,31.8,0.237
Kansas NCAA,38,33,5,0.868,23.87,11.22,15,3,0.833333333,16,0,1,7,3,0.7,3089,2570,0.545856158,69.7,115,0.382,0.33,0.592,53.9,55.3,9.4,10.7,0.564,15.5,32.3,0.272
Kentucky NCAA,36,27,9,0.75,20.23,8.84,13,5,0.722222222,17,0,1,4,7,0.363636364,2861,2451,0.538591867,68.1,115.6,0.378,0.31,0.564,53.6,49.8,8.3,14.1,0.535,13.3,37.3,0.261
Maryland NCAA,36,27,9,0.75,16.71,8.31,12,6,0.666666667,16,1,0.941176471,4,6,0.4,2725,2400,0.531707317,67.3,112.1,0.384,0.381,0.594,51.9,51.7,8.6,13.9,0.555,16.6,28.6,0.295
Miami (FL) NCAA,35,27,8,0.771,18.52,10.69,13,5,0.722222222,15,1,0.9375,6,5,0.545454545,2633,2359,0.52744391,66.2,113.3,0.407,0.339,0.582,51.7,48.3,9.3,9.1,0.542,14.5,29.9,0.305
Michigan State NCAA,35,29,6,0.829,22.59,6.94,13,5,0.722222222,14,2,0.875,7,3,0.7,2793,2245,0.554386661,66.8,118.6,0.3,0.356,0.588,58,71.3,6.6,12.9,0.563,14.6,37,0.218
Michigan NCAA,36,23,13,0.639,13.75,7.92,10,8,0.555555556,13,4,0.764705882,4,6,0.4,2656,2426,0.522628886,65.7,111.9,0.278,0.44,0.573,49.2,56.7,8.6,6.4,0.546,13.1,24.7,0.205
Middle Tennessee NCAA,35,25,10,0.714,2.66,-0.7,13,5,0.722222222,11,3,0.785714286,8,6,0.571428571,2539,2410,0.513032936,69.1,104.7,0.355,0.354,0.537,51.4,50.1,8.9,9.9,0.518,15,29.1,0.218
North Carolina-Asheville NCAA,34,22,12,0.647,1.1,-3.25,12,6,0.666666667,11,3,0.785714286,6,7,0.461538462,2552,2313,0.524563207,70.4,105.8,0.41,0.306,0.541,51.5,47,12.9,9,0.505,15.9,31.9,0.284
North Carolina-Wilmington NCAA,33,25,8,0.758,6.25,0.35,14,4,0.777777778,12,2,0.857142857,8,5,0.615384615,2620,2379,0.524104821,71.3,110,0.373,0.332,0.546,50.6,47.2,10.3,11.2,0.512,13.5,32.2,0.262
North Carolina NCAA,40,33,7,0.825,23.44,10.69,14,4,0.777777778,15,1,0.9375,6,5,0.545454545,3311,2801,0.541721204,70.2,118,0.323,0.268,0.561,55.9,57.3,9.6,11.5,0.526,12.7,40.3,0.241
Northern Iowa NCAA,36,23,13,0.639,8.78,4.44,11,7,0.611111111,11,3,0.785714286,6,8,0.428571429,2475,2303,0.517999163,64.1,106.2,0.34,0.427,0.572,46.8,50.5,8.8,7.7,0.535,14.2,17.6,0.257
Notre Dame NCAA,36,24,12,0.667,14.1,9.57,11,7,0.611111111,14,2,0.875,5,5,0.5,2704,2541,0.515538608,65,115.2,0.329,0.343,0.573,51.1,49.4,8.4,10.1,0.54,13.2,32.3,0.244
Oklahoma NCAA,37,29,8,0.784,19.76,11.14,12,6,0.666666667,14,1,0.933333333,7,5,0.583333333,2948,2629,0.528599606,71,111,0.33,0.407,0.573,51.4,52.8,9.3,12.6,0.543,15.8,31,0.238
Oregon State NCAA,32,19,13,0.594,10.39,9.26,9,9,0.5,12,3,0.8,4,7,0.363636364,2301,2244,0.506270627,68.4,105.1,0.373,0.319,0.53,48.3,53.3,10.8,9.7,0.499,14.3,29.2,0.25
Oregon NCAA,38,31,7,0.816,18.05,8.64,14,4,0.777777778,18,0,1,5,5,0.5,2990,2614,0.533547466,69.5,112.8,0.406,0.34,0.562,52.4,49.7,10.4,15.3,0.525,13.9,34.2,0.291
Pittsburgh NCAA,33,21,12,0.636,15.47,8.75,9,9,0.5,15,4,0.789473684,3,6,0.333333333,2476,2220,0.52725724,66.4,112.2,0.357,0.307,0.551,55.2,62.3,7.3,10,0.511,14.6,36.9,0.269
Providence NCAA,35,24,11,0.686,11.94,8.46,10,8,0.555555556,13,4,0.764705882,7,4,0.636363636,2577,2455,0.512122417,69.8,104.4,0.373,0.371,0.523,49.4,62.4,9.3,8.9,0.48,13.9,30.3,0.27
Purdue NCAA,35,26,9,0.743,20.17,7.46,12,6,0.666666667,17,1,0.944444444,5,5,0.5,2726,2281,0.544437787,67.8,113.7,0.354,0.358,0.571,57.3,64.1,6.1,11.7,0.536,14.9,34.9,0.263
Saint Joseph's NCAA,36,28,8,0.778,12.1,4.93,13,5,0.722222222,12,4,0.75,10,2,0.833333333,2780,2522,0.524330441,70.1,109.7,0.374,0.356,0.548,51.9,54.7,7.3,9.2,0.512,12.3,28.2,0.268
Seton Hall NCAA,34,25,9,0.735,14.66,8.28,12,6,0.666666667,13,3,0.8125,7,4,0.636363636,2522,2305,0.522477729,70.7,104.5,0.404,0.297,0.529,52.4,51,10.4,11.4,0.498,16.4,34.7,0.266
South Dakota State NCAA,34,26,8,0.765,5.44,-1.22,12,4,0.75,13,0,1,8,7,0.533333333,2591,2316,0.528021194,68.8,110.8,0.402,0.367,0.558,53.7,43.4,7.2,6.6,0.515,14.7,32.5,0.298
Southern California NCAA,34,21,13,0.618,13.52,7.64,9,9,0.5,16,2,0.888888889,3,7,0.3,2737,2537,0.51896094,72.5,109.4,0.351,0.322,0.549,51.1,51.3,8.6,12.5,0.522,14.3,32.1,0.237
Southern NCAA,35,22,13,0.629,-7.68,-9.37,11,7,0.611111111,12,1,0.923076923,6,10,0.375,2534,2406,0.512955466,69.5,104.2,0.369,0.298,0.527,49,41.9,10.6,9.7,0.496,14,28.9,0.247
Stephen F. Austin NCAA,34,28,6,0.824,9.23,-5.47,18,0,1,14,0,1,9,4,0.692307692,2728,2153,0.558901864,69.6,115.3,0.345,0.365,0.577,51.9,65.3,13.1,10.2,0.545,14.8,34.6,0.253
Stony Brook NCAA,33,26,7,0.788,3.75,-5.28,14,2,0.875,15,1,0.9375,11,5,0.6875,2515,2115,0.543196544,67.8,112,0.32,0.3,0.548,55.4,58,9.1,12.1,0.524,14.2,36,0.215
Syracuse NCAA,37,23,14,0.622,14.62,9.75,9,9,0.5,13,4,0.764705882,3,7,0.3,2589,2409,0.518007203,64.9,106.7,0.354,0.421,0.533,49.3,55.8,12.4,12.6,0.501,15.3,33.4,0.243
Temple NCAA,33,21,12,0.636,7.69,6.57,14,4,0.777777778,11,3,0.785714286,8,4,0.666666667,2267,2230,0.504113854,65.8,102.4,0.266,0.375,0.498,49.3,54.1,7.8,7.8,0.47,11.8,29.1,0.182
Texas A&M NCAA,37,28,9,0.757,18.45,8.45,13,5,0.722222222,17,1,0.944444444,5,5,0.5,2828,2458,0.534998108,68.6,110,0.381,0.373,0.542,53,61.8,10.1,10.5,0.512,14.3,34.6,0.256
Texas Tech NCAA,32,19,13,0.594,12.41,10.25,9,9,0.5,14,3,0.823529412,3,7,0.3,2305,2236,0.507597445,66.7,106.7,0.422,0.304,0.547,50.1,53.2,8.8,11.8,0.5,15.5,31.2,0.314
Texas NCAA,33,20,13,0.606,14.8,11.71,11,7,0.611111111,14,3,0.823529412,5,5,0.5,2355,2253,0.511067708,66.8,106.1,0.394,0.361,0.526,49.1,46.3,7.5,11.6,0.494,13.2,30.7,0.263
Tulsa NCAA,32,20,12,0.625,9.79,5.76,12,6,0.666666667,12,3,0.8,6,5,0.545454545,2356,2227,0.514073751,68.8,106.1,0.395,0.363,0.536,48.7,53,9.7,7.7,0.503,13.6,27.8,0.268
Utah NCAA,36,27,9,0.75,15.5,8.79,13,5,0.722222222,16,1,0.941176471,5,5,0.5,2778,2502,0.526136364,67.7,112.5,0.382,0.373,0.588,53.2,57,8.1,9.9,0.557,16,30.2,0.276
Vanderbilt NCAA,33,19,14,0.576,17.2,8.68,11,7,0.611111111,14,2,0.875,3,9,0.25,2506,2225,0.529697738,69.2,109,0.398,0.38,0.561,50.8,56.8,6,12.9,0.529,14.7,27.2,0.276
Villanova NCAA,40,35,5,0.875,24.08,9.71,16,2,0.888888889,15,1,0.9375,10,2,0.833333333,3118,2543,0.55078608,67.3,115.4,0.341,0.427,0.597,51.2,58.7,10.4,9.7,0.561,14.4,28,0.267
Virginia Commonwealth NCAA,36,25,11,0.694,13.83,4.35,14,4,0.777777778,15,2,0.882352941,7,4,0.636363636,2781,2440,0.532656579,69.8,110,0.322,0.333,0.539,52,51,12.2,9.8,0.51,13.6,33.2,0.223
Virginia NCAA,37,29,8,0.784,22.04,11.12,13,5,0.722222222,15,0,1,5,6,0.454545455,2626,2222,0.541666667,61.5,115,0.321,0.284,0.58,53.2,57.2,8.7,10.2,0.548,13.2,29.8,0.241
Weber State NCAA,35,26,9,0.743,0.18,-5.13,15,3,0.833333333,13,1,0.928571429,6,7,0.461538462,2662,2344,0.531761886,68.6,109.4,0.436,0.416,0.585,52.6,52.5,7.2,7.7,0.559,16.9,26.5,0.294
West Virginia NCAA,35,26,9,0.743,21.61,9.78,13,5,0.722222222,13,2,0.866666667,7,4,0.636363636,2749,2335,0.540715972,70.7,110.3,0.462,0.306,0.536,56.1,54.1,13.8,8.5,0.498,16.3,41.9,0.311
Wichita State NCAA,35,26,9,0.743,17.39,4.24,16,2,0.888888889,14,1,0.933333333,9,3,0.75,2535,2066,0.550967181,66.1,108.8,0.38,0.381,0.531,53.1,56.4,10.9,11.6,0.49,12.7,31.7,0.272
Wisconsin NCAA,35,22,13,0.629,13.4,9.4,12,6,0.666666667,13,5,0.722222222,6,5,0.545454545,2373,2233,0.515197568,64.1,105.1,0.38,0.342,0.524,52.3,49,9.1,8.6,0.485,14.6,33,0.267
Xavier NCAA,34,28,6,0.824,18.58,8.43,14,4,0.777777778,15,1,0.9375,8,3,0.727272727,2737,2392,0.533632287,72.4,111.2,0.417,0.342,0.556,54.9,59.1,10,8.4,0.514,14.8,35.2,0.305
Yale NCAA,30,23,7,0.767,9.08,-1.03,13,1,0.928571429,12,0,1,9,6,0.6,2248,1914,0.54012494,66.9,111.5,0.413,0.309,0.555,57.8,56.9,8.4,12.6,0.526,16.4,39.4,0.276
