School,G,W,L,W-L%,SRS,SOS,W,L,Conf_W-L%,W,L,Home_W-L%,W,L,Away_W-L%,Tm.,Opp.,Point_T-O%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Eastern Washington NCAA,35,26,9,0.743,0.79,-3.84,14,4,0.777777778,13,2,0.866666667,11,6,0.647058824,2820,2588,0.521449704,68.3,117.1,0.352,0.421,0.591,50,46.5,9.1,13,0.562,13.6,29.9,0.255
Georgetown NCAA,33,22,11,0.667,15.48,9.81,12,6,0.666666667,13,3,0.8125,5,4,0.555555556,2340,2153,0.520810149,64.6,108.1,0.439,0.325,0.552,52.2,53.4,11.6,14.1,0.513,16.4,34.3,0.309
Georgia State NCAA,35,25,10,0.714,5.47,-2.03,15,5,0.75,12,1,0.923076923,8,8,0.5,2499,2184,0.533632287,64.3,109.8,0.383,0.278,0.563,48.9,53.1,14.1,13.5,0.527,14.2,30,0.277
Georgia NCAA,33,21,12,0.636,12.42,8.6,11,7,0.611111111,12,4,0.75,8,4,0.666666667,2250,2124,0.514403292,64.8,102.8,0.477,0.311,0.53,53,55,8.4,12.4,0.485,16.5,32.2,0.331
Gonzaga NCAA,38,35,3,0.921,21.12,5.12,17,1,0.944444444,15,1,0.9375,10,1,0.909090909,2989,2343,0.560577644,65.2,120.3,0.387,0.317,0.606,55.5,57.2,9.1,8.4,0.584,13.9,34.1,0.267
Hampton NCAA,35,17,18,0.486,-8.25,-7.08,8,8,0.5,6,5,0.545454545,5,12,0.294117647,2346,2387,0.495668709,69.5,96.1,0.438,0.326,0.496,50.1,46.7,9.6,10.5,0.456,17.3,31.8,0.286
Harvard NCAA,30,22,8,0.733,4.47,-0.25,12,3,0.8,12,2,0.857142857,9,4,0.692307692,1926,1727,0.527237887,61.2,103.2,0.393,0.266,0.524,52.5,57.2,11.4,13.1,0.481,16,32.7,0.283
Indiana NCAA,34,20,14,0.588,12.94,7.2,9,9,0.5,15,4,0.789473684,3,6,0.333333333,2633,2438,0.519226977,66.9,115.3,0.327,0.395,0.573,52.2,51.2,7.4,7.8,0.544,14.6,35.2,0.235
Iowa State NCAA,34,25,9,0.735,17.94,9.15,12,6,0.666666667,15,1,0.9375,6,5,0.545454545,2645,2346,0.529953917,69.8,111.4,0.365,0.368,0.571,50.5,58.1,9.2,9.7,0.543,13.9,28.3,0.254
Iowa NCAA,34,22,12,0.647,15.83,8.39,12,6,0.666666667,14,4,0.777777778,7,4,0.636363636,2372,2119,0.528167446,64.5,107.4,0.38,0.302,0.527,52.9,58.7,9.9,13.1,0.481,14.4,35.6,0.282
Kansas NCAA,36,27,9,0.75,18.47,12.13,13,5,0.722222222,15,0,1,5,5,0.5,2561,2333,0.523293829,66.7,106.3,0.426,0.284,0.539,52.6,54.7,9.8,12.3,0.494,16.3,34.9,0.309
Kentucky NCAA,39,38,1,0.974,28.72,8.67,18,0,1,19,0,1,10,0,1,2900,2118,0.57791949,63.8,115.5,0.439,0.271,0.558,54.9,55,10.1,18.2,0.515,13.6,39.5,0.319
Lafayette NCAA,33,20,13,0.606,-3.37,-3.12,9,9,0.5,11,5,0.6875,9,7,0.5625,2426,2409,0.501758014,64.8,112.9,0.305,0.356,0.589,48.3,58.9,8.4,6.9,0.557,15.1,28.4,0.234
Louisiana State NCAA,33,22,11,0.667,11.39,5.63,11,7,0.611111111,13,4,0.764705882,8,3,0.727272727,2423,2233,0.52040378,69.6,103.1,0.335,0.284,0.533,51.5,57.8,10.2,14,0.503,17.3,33.9,0.229
Louisville NCAA,36,27,9,0.75,18.12,8.98,12,6,0.666666667,15,4,0.789473684,7,3,0.7,2483,2154,0.535475523,65.6,104.5,0.387,0.314,0.512,51.8,47.7,11.9,14.4,0.477,14.4,34.7,0.258
Manhattan NCAA,33,19,14,0.576,-1.34,-3.34,13,7,0.65,9,2,0.818181818,5,9,0.357142857,2300,2234,0.507278341,68.2,100.7,0.474,0.366,0.537,48.6,60.8,11.6,7.5,0.494,18.3,30.9,0.328
Maryland NCAA,35,28,7,0.8,13.32,7.63,14,4,0.777777778,18,1,0.947368421,6,4,0.6,2417,2218,0.521467098,64.7,106.1,0.445,0.387,0.562,51.1,48.1,7.4,11.9,0.512,16.7,28.9,0.336
Michigan State NCAA,39,27,12,0.692,17.46,10,12,6,0.666666667,12,4,0.75,7,4,0.636363636,2773,2482,0.527687916,63,109.7,0.327,0.35,0.55,53.9,63.7,8,12.6,0.532,14.9,33.4,0.207
Mississippi NCAA,34,21,13,0.618,11.39,7.01,11,7,0.611111111,9,7,0.5625,8,4,0.666666667,2475,2326,0.5155176,67,107.9,0.361,0.331,0.527,51.8,53.1,9.8,11.3,0.478,13.9,34.8,0.279
New Mexico State NCAA,34,23,11,0.676,3.71,-3.67,13,1,0.928571429,15,2,0.882352941,6,8,0.428571429,2316,2033,0.532536215,62.9,107.5,0.441,0.257,0.548,54.9,50.2,10.2,9.2,0.509,18.2,39.9,0.306
North Carolina State NCAA,36,22,14,0.611,14.11,9.72,10,8,0.555555556,14,6,0.7,5,5,0.5,2525,2367,0.516148814,64.5,108,0.354,0.322,0.526,52.3,46.4,5.9,13.1,0.493,13.5,34,0.243
North Carolina NCAA,38,26,12,0.684,20.63,11.76,11,7,0.611111111,10,5,0.666666667,7,4,0.636363636,2953,2616,0.530256779,69.2,111.6,0.353,0.223,0.548,55.2,60.1,9.5,11.3,0.516,15.1,40,0.247
North Dakota State NCAA,33,23,10,0.697,-1.72,-3.63,12,4,0.75,14,0,1,5,8,0.384615385,2141,2057,0.510004764,61.9,103.7,0.358,0.35,0.534,51.3,42.4,7.6,10.7,0.501,14,25.6,0.248
North Florida NCAA,35,23,12,0.657,-0.82,-5.94,12,2,0.857142857,12,2,0.857142857,9,9,0.5,2651,2385,0.526409849,67.7,112,0.391,0.424,0.585,50.7,56.4,9,9.9,0.553,16.1,30.1,0.283
Northeastern NCAA,35,23,12,0.657,2.03,-1.34,12,6,0.666666667,9,3,0.75,8,7,0.533333333,2397,2279,0.512617622,63.5,106.7,0.413,0.305,0.581,54.2,59.7,8.1,9.3,0.545,19,30.1,0.3
Northern Iowa NCAA,35,31,4,0.886,12.54,2,16,2,0.888888889,16,0,1,9,3,0.75,2281,1912,0.544001908,57.4,111.9,0.398,0.399,0.593,51.9,53.2,10.2,7.8,0.559,15.9,27,0.292
Notre Dame NCAA,38,32,6,0.842,19.23,7.02,14,4,0.777777778,17,2,0.894736842,7,2,0.777777778,2963,2499,0.542475284,63.7,120.4,0.367,0.376,0.612,49.8,54.9,10.4,9.1,0.583,12.9,27.9,0.272
Ohio State NCAA,35,24,11,0.686,19.68,7.37,11,7,0.611111111,18,2,0.9,4,6,0.4,2635,2204,0.544533995,66,113.2,0.347,0.319,0.567,51.5,55.4,11.4,14.6,0.542,14.6,33.5,0.236
Oklahoma State NCAA,32,18,14,0.563,12.95,9.63,8,10,0.444444444,12,4,0.75,3,8,0.272727273,2160,2011,0.517861424,64.6,103.6,0.387,0.388,0.547,48.6,49.9,12.1,13.7,0.507,16.6,27.8,0.281
Oklahoma NCAA,35,24,11,0.686,18.65,9.94,12,6,0.666666667,14,1,0.933333333,5,6,0.454545455,2501,2196,0.532467532,67.4,105.2,0.328,0.338,0.532,51.1,48.6,10,12.9,0.493,15.1,31.5,0.243
Oregon NCAA,36,26,10,0.722,11.43,7.65,13,5,0.722222222,17,2,0.894736842,6,4,0.6,2713,2550,0.515485465,68,109.3,0.286,0.339,0.557,50.9,51.2,8.3,11,0.524,14.7,30.8,0.217
Providence NCAA,34,22,12,0.647,13.71,9.5,11,7,0.611111111,13,4,0.764705882,5,6,0.454545455,2370,2227,0.515553622,65.7,105.4,0.407,0.289,0.526,52.9,57.2,10.8,13.5,0.484,15.3,35.1,0.287
Purdue NCAA,34,21,13,0.618,12.93,7.64,12,6,0.666666667,14,3,0.823529412,4,6,0.4,2375,2195,0.519693654,64.9,106.4,0.417,0.324,0.539,53.5,61.1,8.3,13.6,0.502,16.8,36.5,0.285
Robert Morris NCAA,35,20,15,0.571,-3.02,-3.5,12,6,0.666666667,10,6,0.625,8,8,0.5,2414,2397,0.501766784,66.7,102.6,0.355,0.306,0.536,47.9,50.1,12.8,8.1,0.501,17.2,31,0.252
San Diego State NCAA,36,27,9,0.75,11.81,4.24,14,4,0.777777778,16,1,0.941176471,6,5,0.545454545,2226,1939,0.534453782,60.8,100.7,0.362,0.308,0.496,52.4,47.1,11.2,14.1,0.467,15.4,35.4,0.228
Southern Methodist NCAA,34,27,7,0.794,12.94,3.57,15,3,0.833333333,16,2,0.888888889,8,4,0.666666667,2350,2032,0.536284801,63.3,108.8,0.44,0.229,0.555,55,63,11,14.7,0.517,16.8,37.1,0.309
St. John's (NY) NCAA,33,21,12,0.636,11.85,9.04,10,8,0.555555556,15,3,0.833333333,5,6,0.454545455,2343,2240,0.511237181,67.6,104.6,0.363,0.301,0.529,47.4,48.9,11,16.8,0.494,13.7,28.4,0.251
Stephen F. Austin NCAA,34,29,5,0.853,8.61,-4.2,17,1,0.944444444,15,1,0.9375,10,3,0.769230769,2672,2188,0.549794239,68,115.2,0.427,0.37,0.594,54.2,65.4,11.2,10,0.557,17.5,37.9,0.314
Texas Southern NCAA,35,22,13,0.629,-5.98,-6.09,16,2,0.888888889,9,1,0.9,10,11,0.476190476,2390,2386,0.50041876,64.5,103.6,0.468,0.312,0.531,50,45.8,9.3,7.7,0.495,16.8,33.8,0.309
Texas NCAA,34,20,14,0.588,16.16,9.07,8,10,0.444444444,13,5,0.722222222,4,7,0.363636364,2290,2049,0.527771376,62.9,105.9,0.365,0.341,0.531,56,55.5,5.9,20,0.491,16.8,37.9,0.265
UCLA NCAA,36,22,14,0.611,12.07,8.27,11,7,0.611111111,16,1,0.941176471,2,8,0.2,2590,2453,0.513583185,67.3,106.1,0.357,0.289,0.527,52.6,53.5,9.8,11,0.496,14.9,33.8,0.242
Utah NCAA,35,26,9,0.743,20.98,7.42,13,5,0.722222222,16,1,0.941176471,6,5,0.545454545,2496,1999,0.555283648,62.6,113.5,0.432,0.372,0.588,53.7,57.6,9.5,13.5,0.557,16.1,31.6,0.303
Valparaiso NCAA,34,28,6,0.824,6.29,-2,13,3,0.8125,15,1,0.9375,8,4,0.666666667,2366,2021,0.53932072,63.8,108.6,0.368,0.338,0.548,55.1,52.9,9.3,14.1,0.52,16.4,35.6,0.248
Villanova NCAA,36,33,3,0.917,23.13,7.55,16,2,0.888888889,15,0,1,9,2,0.818181818,2754,2193,0.556701031,65,116.9,0.418,0.429,0.589,51.5,62.2,11.8,11,0.553,14,32.5,0.305
Virginia Commonwealth NCAA,36,26,10,0.722,12.79,6.1,12,6,0.666666667,12,4,0.75,8,4,0.666666667,2609,2368,0.524211372,66.4,106.5,0.373,0.399,0.518,49.2,50.9,14,12.5,0.487,13.2,31.8,0.245
Virginia NCAA,34,30,4,0.882,21.73,7.81,16,2,0.888888889,15,1,0.9375,11,1,0.916666667,2224,1751,0.559496855,58.6,110.8,0.349,0.275,0.543,56,53.5,9.3,13.3,0.506,13.4,34.2,0.254
West Virginia NCAA,35,25,10,0.714,15.12,9.29,11,7,0.611111111,12,3,0.8,5,5,0.5,2542,2338,0.520901639,68.7,104.9,0.404,0.336,0.499,52.1,56.7,15.5,8.7,0.461,15.1,40.2,0.267
Wichita State NCAA,35,30,5,0.857,15.56,3.68,17,1,0.944444444,15,0,1,10,2,0.833333333,2460,2008,0.550581916,61.9,112.7,0.37,0.347,0.541,53.6,55.3,11.5,11.3,0.507,12.6,34.9,0.259
Wisconsin NCAA,40,36,4,0.9,24.61,10.29,16,2,0.888888889,15,1,0.9375,10,2,0.833333333,2900,2327,0.554811555,59.5,121.1,0.362,0.374,0.585,54.7,49.7,7.3,8.2,0.548,10.7,32.1,0.276
Wofford NCAA,35,28,7,0.8,2.56,-2.98,16,2,0.888888889,13,1,0.928571429,10,5,0.666666667,2331,2089,0.527375566,62.7,106.2,0.382,0.331,0.547,51.1,56.4,10.4,7.2,0.516,15.1,29.1,0.262
Wyoming NCAA,35,25,10,0.714,3.81,-0.04,11,7,0.611111111,17,2,0.894736842,5,7,0.416666667,2151,1974,0.521454545,58.3,103.1,0.394,0.397,0.56,49.9,67.1,9.2,8.9,0.526,16.9,22.3,0.277
Xavier NCAA,37,23,14,0.622,15.42,9.48,9,9,0.5,13,3,0.8125,5,7,0.416666667,2712,2492,0.521137586,65.6,109.8,0.385,0.331,0.57,52.8,62.3,9,8.3,0.534,15.8,31.3,0.281
