School,G,W,L,W-L%,SRS,SOS,W,L,Conf_W-L%,W,L,Home_W-L%,W,L,Away_W-L%,Tm.,Opp.,Point_T-O%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Alabama-Birmingham NCAA,36,20,16,0.556,1.94,1.62,12,6,0.666666667,13,4,0.764705882,3,8,0.272727273,2476,2452,0.502435065,65.9,101.5,0.35,0.297,0.52,51,59.1,9.7,13,0.477,16.8,34.2,0.259
Albany (NY) NCAA,33,24,9,0.727,-0.34,-5.18,15,1,0.9375,12,3,0.8,12,5,0.705882353,2156,1996,0.519267823,61.2,106.4,0.39,0.343,0.546,53.5,47.9,9.2,5.5,0.499,16.2,32.6,0.296
Arizona NCAA,38,34,4,0.895,24.33,7.41,16,2,0.888888889,17,0,1,8,3,0.727272727,2911,2268,0.562077621,66.5,114.7,0.471,0.259,0.575,56.8,52.3,10.8,9.8,0.535,14.2,34.5,0.338
Arkansas NCAA,36,27,9,0.75,14.07,6.79,13,5,0.722222222,17,2,0.894736842,7,5,0.583333333,2787,2525,0.524661145,70.1,109.6,0.373,0.31,0.539,50.2,59.2,10.9,12,0.5,14.3,35.7,0.27
Baylor NCAA,34,24,10,0.706,17.85,9.33,11,7,0.611111111,16,2,0.888888889,6,5,0.545454545,2349,2048,0.534227883,62.8,109.2,0.386,0.334,0.53,55.9,61.1,12.2,11.2,0.497,16.4,42.4,0.26
Belmont NCAA,33,22,11,0.667,0.35,-2.77,11,5,0.6875,12,2,0.857142857,7,8,0.466666667,2450,2330,0.512552301,67.5,109.9,0.324,0.48,0.589,50.3,58.7,9.4,5.5,0.567,17.8,29,0.225
Boise State NCAA,34,25,9,0.735,10.01,1.38,14,4,0.777777778,13,1,0.928571429,8,5,0.615384615,2390,2045,0.538895152,62.4,110.5,0.324,0.416,0.568,52.1,49.2,9.5,7,0.537,14.2,28.4,0.236
Brigham Young NCAA,35,25,10,0.714,13.53,5.02,13,5,0.722222222,13,3,0.8125,8,3,0.727272727,2931,2561,0.533685361,70.7,116.7,0.424,0.365,0.584,53.2,60.9,10.2,7.4,0.539,14.2,34.1,0.325
Buffalo NCAA,33,23,10,0.697,7.93,1.6,12,6,0.666666667,11,2,0.846153846,9,7,0.5625,2462,2253,0.522163309,68.7,108.5,0.426,0.303,0.533,52,51.7,10.9,11.3,0.487,14.1,34.5,0.306
Butler NCAA,34,23,11,0.676,16.64,8.62,12,6,0.666666667,13,3,0.8125,7,4,0.636363636,2346,2073,0.530889341,64.2,105.9,0.408,0.287,0.522,54.2,47.5,9.8,8.8,0.484,14.3,34.7,0.279
UC-Irvine NCAA,34,21,13,0.618,3.63,0.45,11,5,0.6875,10,3,0.769230769,6,9,0.4,2295,2113,0.520644283,63.7,105.2,0.292,0.301,0.544,51.2,56.2,8.9,12.6,0.52,15.8,30.2,0.2
Cincinnati NCAA,34,23,11,0.676,10.72,4.4,13,5,0.722222222,15,3,0.833333333,6,5,0.545454545,2113,1898,0.526801296,59.6,102.8,0.371,0.297,0.527,53.5,51.8,10.8,15.4,0.495,17.7,37.3,0.249
Coastal Carolina NCAA,34,24,10,0.706,-1.02,-6.18,12,6,0.666666667,14,2,0.875,8,7,0.533333333,2438,2121,0.534766396,65.2,110,0.411,0.333,0.537,55.7,46.1,10.8,10.2,0.5,15,37.5,0.283
Davidson NCAA,32,24,8,0.75,11.97,3.19,14,4,0.777777778,14,1,0.933333333,9,4,0.692307692,2529,2221,0.532421053,67.2,117.1,0.287,0.456,0.578,50.3,60.9,7.9,7.5,0.556,12.2,30,0.203
Dayton NCAA,36,27,9,0.75,10.98,4.06,13,5,0.722222222,16,0,1,5,6,0.454545455,2439,2190,0.526895658,64.2,105.1,0.482,0.382,0.565,48.6,60.5,10.8,7.2,0.53,16.1,23.3,0.33
Duke NCAA,39,35,4,0.897,24.97,9.87,15,3,0.833333333,15,1,0.9375,9,2,0.818181818,3091,2502,0.552655105,65.9,119.4,0.398,0.334,0.593,53.9,53.5,10.7,9,0.566,13.9,35.8,0.278
