School,G,W,L,W-L%,SRS,SOS,W,L,Conf_W-L%,W,L,Home_W-L%,W,L,Away_W-L%,Tm.,Opp.,Point_T-O%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian NCAA,27,23,4,0.852,6.1,-8.46,13,2,0.866666667,13,0,1,5,4,0.555555556,2096,1634,0.561930295,72.5,107,0.351,0.372,0.552,51.8,65.6,13.7,9.2,0.526,16.5,31.7,0.236
Alabama NCAA,30,24,6,0.8,20.16,10.36,16,2,0.888888889,12,1,0.923076923,7,3,0.7,2387,2093,0.5328125,75.1,105.9,0.286,0.471,0.542,51,51.1,11.5,10.6,0.513,16,31.5,0.206
Appalachian State NCAA,28,17,11,0.607,-5.33,-5.24,7,8,0.466666667,9,4,0.692307692,4,7,0.363636364,1986,1806,0.523734177,66.7,104.1,0.343,0.431,0.525,50.6,49.4,11.8,9.8,0.484,14.8,29.9,0.253
Arkansas NCAA,28,22,6,0.786,18.06,6.34,13,4,0.764705882,16,1,0.941176471,5,4,0.555555556,2307,1979,0.538264116,75.3,108.9,0.327,0.358,0.55,52.8,50.8,10.7,13.5,0.515,14.9,31.7,0.241
Baylor NCAA,24,22,2,0.917,23.32,5.36,13,1,0.928571429,11,0,1,7,1,0.875,2025,1594,0.559546836,70.2,119.5,0.27,0.392,0.593,53.2,54.8,12.7,10.3,0.575,14.9,37.5,0.188
Brigham Young NCAA,26,20,6,0.769,14.58,5.86,10,3,0.769230769,11,2,0.846153846,7,2,0.777777778,2047,1780,0.534883721,70.5,110.1,0.274,0.396,0.582,54.8,57.4,6.6,7.2,0.557,16.4,28.7,0.2
UC-Santa Barbara NCAA,26,22,4,0.846,6.02,-4.31,15,3,0.833333333,11,0,1,8,4,0.666666667,1989,1633,0.549144119,67.4,112.5,0.342,0.339,0.579,54.2,59,11.1,7.4,0.545,14.2,29.4,0.257
Clemson NCAA,23,16,7,0.696,13.5,10.19,10,6,0.625,11,1,0.916666667,2,5,0.285714286,1502,1426,0.512978142,64.9,100.1,0.236,0.439,0.534,50.2,56.4,9.3,9.2,0.504,17.2,26.6,0.18
Cleveland State NCAA,26,19,7,0.731,-4.09,-4.97,16,4,0.8,9,2,0.818181818,8,5,0.615384615,1858,1835,0.503113999,67.6,103.2,0.32,0.343,0.533,49.8,53.1,10.1,7.7,0.507,16.1,30.9,0.214
Colgate NCAA,15,14,1,0.933,19.16,1.43,11,1,0.916666667,8,1,0.888888889,6,0,1,1295,1029,0.557228916,72.2,118.6,0.311,0.357,0.596,53.3,55.5,9.9,8.7,0.571,12.2,28.1,0.227
Colorado NCAA,30,22,8,0.733,16.76,6.99,14,6,0.7,11,1,0.916666667,6,6,0.5,2191,1898,0.535827831,66.3,110.2,0.299,0.359,0.563,53.2,51.3,8,7.8,0.52,14.6,30.8,0.246
Connecticut NCAA,22,15,7,0.682,17.13,9.22,11,6,0.647058824,7,3,0.7,6,3,0.666666667,1596,1422,0.528827038,66.6,108.4,0.296,0.333,0.529,53.4,49.4,9.2,14.4,0.495,14.6,36.6,0.216
Creighton NCAA,28,20,8,0.714,17.59,8.91,14,6,0.7,11,3,0.785714286,7,4,0.636363636,2155,1912,0.5298746,69.5,109.8,0.269,0.443,0.57,49.7,55.8,10.1,9.5,0.557,14.1,24.8,0.173
Drake NCAA,29,25,4,0.862,9.55,-1.63,15,3,0.833333333,14,1,0.933333333,9,2,0.818181818,2245,1875,0.544902913,66.8,114.9,0.244,0.314,0.573,53.8,46,10.6,8.4,0.552,13.2,31.6,0.174
Drexel NCAA,19,12,7,0.632,0.23,-4.41,4,5,0.444444444,3,2,0.6,4,5,0.444444444,1358,1270,0.51674277,65.9,108.4,0.285,0.357,0.576,53.7,58.2,7.1,6.5,0.543,17.2,29.4,0.222
Eastern Washington NCAA,23,16,7,0.696,2.46,-5.45,12,3,0.8,7,2,0.777777778,6,5,0.545454545,1795,1597,0.529186321,71.7,108.9,0.302,0.401,0.574,50.7,54.4,6.9,7.3,0.538,14.4,23.4,0.238
Florida State NCAA,22,16,6,0.727,17.98,9.39,11,4,0.733333333,12,1,0.923076923,3,4,0.428571429,1736,1547,0.528784648,70.3,110.9,0.327,0.355,0.575,53.2,51.9,10.4,14.6,0.544,17.3,35.5,0.241
Florida NCAA,23,14,9,0.609,14.89,10.76,9,7,0.5625,6,3,0.666666667,5,5,0.5,1701,1606,0.514363471,70.8,104.5,0.338,0.338,0.562,50.8,45,10.3,14.4,0.525,18.2,30.7,0.256
Georgetown NCAA,25,13,12,0.52,11.73,11.05,7,9,0.4375,7,6,0.538461538,2,6,0.25,1784,1767,0.502393692,70.2,101.2,0.303,0.388,0.533,53.4,51.7,8.4,10.4,0.496,18.6,32.4,0.228
Georgia Tech NCAA,25,17,8,0.68,14.06,8.54,11,6,0.647058824,11,3,0.785714286,4,5,0.444444444,1888,1750,0.518966465,68.2,108,0.29,0.369,0.566,47.2,57.7,13.2,9.3,0.538,14.3,24.7,0.211
Gonzaga NCAA,26,26,0,1,26.43,3.43,15,0,1,12,0,1,7,0,1,2395,1797,0.571326336,75.3,122.4,0.366,0.323,0.633,55.3,53.6,11,7.1,0.61,14.3,30.4,0.266
Grand Canyon NCAA,23,17,6,0.739,3.83,-5.78,9,3,0.75,10,3,0.769230769,5,1,0.833333333,1738,1405,0.552974865,68.3,110.6,0.322,0.358,0.574,57,57.4,7.1,9,0.551,16.6,32.2,0.221
Hartford NCAA,23,15,8,0.652,-2.76,-5.37,8,6,0.571428571,10,1,0.909090909,5,6,0.454545455,1515,1455,0.51010101,66.5,99,0.286,0.425,0.533,48.9,46.6,10.5,6.1,0.504,17,24.8,0.204
Houston NCAA,27,24,3,0.889,22.14,4.14,14,3,0.823529412,15,0,1,5,3,0.625,2096,1562,0.572990705,66.6,116.5,0.297,0.42,0.552,56.2,51.6,12.3,14.6,0.52,13.4,39.6,0.22
Illinois NCAA,29,23,6,0.793,24.84,12.67,16,4,0.8,11,2,0.846153846,9,3,0.75,2361,2008,0.54039826,71.5,112.4,0.392,0.307,0.583,57.1,55.6,7.9,7,0.556,15.9,33,0.271
Iona NCAA,17,12,5,0.706,-0.87,-7.17,6,3,0.666666667,4,2,0.666666667,4,3,0.571428571,1228,1121,0.522775649,69.9,103.4,0.361,0.376,0.551,54.4,56,9.8,11.9,0.512,19.3,33.4,0.268
Iowa NCAA,29,21,8,0.724,23.21,11.38,14,6,0.7,14,2,0.875,6,4,0.6,2429,2086,0.537984496,70.9,117.6,0.32,0.399,0.573,52,64.3,7.8,11.6,0.546,11.5,30.7,0.228
Kansas NCAA,28,20,8,0.714,16.6,10.26,12,6,0.666666667,14,1,0.933333333,4,6,0.4,2047,1841,0.52649177,69.5,104.8,0.305,0.363,0.533,52.5,52,9.8,11.2,0.502,15.3,31.3,0.217
Liberty NCAA,28,23,5,0.821,4.3,-6.7,11,2,0.846153846,13,0,1,5,3,0.625,2097,1670,0.5566764,64.5,116,0.238,0.478,0.609,53,58.6,7.1,6.7,0.585,13.6,23.8,0.185
Louisiana State NCAA,27,18,9,0.667,15.66,8.88,11,6,0.647058824,11,2,0.846153846,4,6,0.4,2217,2034,0.521524347,72.8,112.3,0.34,0.371,0.564,50.1,42.3,11,7.8,0.528,13.9,31.5,0.254
Loyola (IL) NCAA,28,24,4,0.857,14.6,-0.09,16,2,0.888888889,13,0,1,8,3,0.727272727,2002,1555,0.562833849,63.9,111,0.315,0.375,0.598,54.1,60.1,10.8,7,0.574,16.6,25.3,0.227
Maryland NCAA,29,16,13,0.552,15.33,12.86,9,11,0.45,11,6,0.647058824,4,6,0.4,1995,1884,0.514307811,66.2,104,0.337,0.432,0.561,49.8,55.1,7.6,10.2,0.532,15.4,20.6,0.237
Michigan State NCAA,27,15,12,0.556,11.02,12.54,9,11,0.45,12,3,0.8,3,8,0.272727273,1864,1905,0.494560891,69.1,99.9,0.314,0.341,0.515,52.3,64.1,6.6,12.3,0.479,16.3,30.4,0.226
Michigan NCAA,24,20,4,0.833,23.37,12.5,14,3,0.823529412,13,1,0.928571429,6,2,0.75,1830,1569,0.538393645,67.6,112.3,0.289,0.339,0.582,54.5,55.5,6.5,10.6,0.549,14.5,29.4,0.225
Missouri NCAA,25,16,9,0.64,12.73,11.01,8,8,0.5,8,4,0.666666667,6,4,0.6,1841,1798,0.505908217,70.5,103.4,0.375,0.375,0.543,50.2,51.1,9.4,9,0.509,16.5,28.6,0.261
Morehead State NCAA,30,23,7,0.767,-0.45,-4.55,17,3,0.85,12,1,0.923076923,8,5,0.615384615,2065,1902,0.520544492,67.2,101.6,0.359,0.351,0.551,54.8,51.8,6.5,14.7,0.522,19.7,31.7,0.245
Mount St. Mary's NCAA,22,12,10,0.545,-3.36,-4.77,9,7,0.5625,6,3,0.666666667,6,6,0.5,1402,1371,0.505589614,63.9,98.7,0.297,0.363,0.515,53.9,50.6,6.8,10.9,0.487,17.5,31.6,0.201
Norfolk State NCAA,23,16,7,0.696,-4.84,-9.41,8,4,0.666666667,7,4,0.636363636,6,3,0.666666667,1730,1591,0.520927431,72,103.9,0.384,0.36,0.539,50.6,47.7,8.8,10.6,0.502,15.8,28.9,0.271
North Carolina-Greensboro NCAA,29,21,8,0.724,3.88,-2.29,13,5,0.722222222,7,3,0.7,10,3,0.769230769,2135,1956,0.521877292,70.5,103.9,0.238,0.389,0.506,52,44.3,10.6,12.3,0.482,13.1,31.9,0.163
North Carolina NCAA,28,18,10,0.643,16.3,10.01,10,6,0.625,10,1,0.909090909,3,7,0.3,2119,1943,0.521664205,71.9,105.3,0.349,0.282,0.516,57.1,55.8,10,12.8,0.485,16.8,41.2,0.233
North Texas NCAA,26,17,9,0.654,7.4,-0.24,9,5,0.642857143,8,3,0.727272727,5,6,0.454545455,1815,1592,0.532726739,65.6,105.9,0.273,0.373,0.572,52.1,51.9,10.3,8.5,0.546,17.8,28.3,0.201
Ohio State NCAA,30,21,9,0.7,19.95,13.58,12,8,0.6,10,4,0.714285714,7,4,0.636363636,2320,2129,0.521465498,67.5,113.6,0.376,0.394,0.573,51.8,49.5,6.8,9.5,0.531,13.4,29.1,0.287
Ohio NCAA,23,16,7,0.696,5.89,-1.16,9,5,0.642857143,8,3,0.727272727,4,4,0.5,1860,1685,0.524682652,71.9,112.5,0.298,0.385,0.581,50.9,60.1,9.4,6,0.558,14.7,28.8,0.209
Oklahoma State NCAA,28,20,8,0.714,14.14,9.97,11,7,0.611111111,10,3,0.769230769,8,4,0.666666667,2158,2041,0.513931889,72.8,103.6,0.363,0.319,0.555,52.1,47.7,9.8,11.1,0.521,18.7,31.9,0.259
