School,G,W,L,W-L%,SRS,SOS,W,L,Conf_W-L%,W,L,Home_W-L%,W,L,Away_W-L%,Tm.,Opp.,Point_T-O%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Oklahoma NCAA,25,15,10,0.6,13.73,8.21,9,8,0.529411765,10,3,0.769230769,4,7,0.363636364,1869,1731,0.519166667,69.2,106.4,0.291,0.39,0.541,50,50,10.5,9.2,0.508,13.8,27.3,0.217
Oral Roberts NCAA,26,16,10,0.615,-0.76,-2.58,10,5,0.666666667,8,3,0.727272727,5,7,0.416666667,2126,1970,0.519042969,73.7,111,0.273,0.466,0.582,47.5,44.8,8.7,9.6,0.545,14.1,23.8,0.225
Oregon State NCAA,29,17,12,0.586,7.55,7.69,10,10,0.5,10,6,0.625,4,6,0.4,2049,1981,0.508436725,66,106.1,0.34,0.351,0.539,50.2,59.8,9.1,9.9,0.497,14.7,30.1,0.258
Oregon NCAA,26,20,6,0.769,13.62,6.66,14,4,0.777777778,11,2,0.846153846,7,2,0.777777778,1934,1753,0.524545701,67.9,109.6,0.268,0.38,0.566,50.7,48.8,11,10.7,0.544,14.8,28.3,0.189
Purdue NCAA,27,18,9,0.667,17.29,12.47,13,6,0.684210526,11,1,0.916666667,5,6,0.454545455,1920,1790,0.517520216,66.8,106,0.322,0.375,0.545,54.5,56,7.7,11.2,0.514,16.1,32.2,0.229
Rutgers NCAA,26,15,11,0.577,15.18,13.45,10,10,0.5,10,4,0.714285714,4,6,0.4,1819,1774,0.506262176,68.5,101.6,0.277,0.327,0.521,49.2,51.6,11.3,14.1,0.502,14.4,27.4,0.175
San Diego State NCAA,27,23,4,0.852,14.63,2.2,14,3,0.823529412,13,2,0.866666667,6,2,0.75,2000,1635,0.550206327,67.1,109.9,0.345,0.4,0.562,53,53.8,12.3,10,0.529,14.6,29,0.249
Southern California NCAA,29,22,7,0.759,17.27,7.61,15,5,0.75,13,2,0.866666667,7,3,0.7,2168,1888,0.534516765,67.6,108.8,0.375,0.312,0.545,55,50.3,7,13.6,0.521,15.4,35.6,0.242
St. Bonaventure NCAA,20,16,4,0.8,15.15,5,11,4,0.733333333,8,1,0.888888889,4,3,0.571428571,1410,1207,0.538784868,65.2,108.2,0.278,0.319,0.536,53.1,56.8,9.2,12.4,0.505,14.4,33.6,0.204
Syracuse NCAA,25,16,9,0.64,13.75,8.63,9,7,0.5625,13,1,0.928571429,2,7,0.222222222,1896,1768,0.517467249,69.7,108.2,0.284,0.391,0.545,48.6,56.5,12.4,14.4,0.507,13.8,30.2,0.222
Tennessee NCAA,26,18,8,0.692,18.06,8.79,10,7,0.588235294,13,3,0.8125,4,4,0.5,1885,1644,0.53414565,68.8,105.4,0.351,0.343,0.542,51.6,59.2,10.5,14.4,0.501,15.7,31.4,0.262
Texas Southern NCAA,24,16,8,0.667,-7.48,-10.96,10,3,0.769230769,8,2,0.8,5,6,0.454545455,1795,1672,0.517738679,74.4,100,0.382,0.276,0.526,53.9,45.8,9.6,12.4,0.489,18.4,32.7,0.267
Texas Tech NCAA,27,17,10,0.63,16.54,6.91,9,8,0.529411765,11,4,0.733333333,5,4,0.555555556,1972,1712,0.535287731,67,108,0.393,0.313,0.537,51.5,51,10.7,12.6,0.497,13.9,33.6,0.279
Texas NCAA,26,19,7,0.731,16.24,9.81,11,6,0.647058824,8,5,0.615384615,6,2,0.75,1956,1789,0.522296395,69.6,106.5,0.341,0.419,0.559,53,49.9,9.3,10,0.529,17.5,31.3,0.241
UCLA NCAA,26,17,9,0.654,12.41,8.06,13,6,0.684210526,11,1,0.916666667,5,6,0.454545455,1894,1781,0.51537415,65.5,108.1,0.326,0.317,0.552,53.2,51.6,7.5,7.8,0.52,14.5,30.2,0.235
Utah State NCAA,28,20,8,0.714,11.25,0.76,13,4,0.764705882,10,2,0.833333333,5,3,0.625,2052,1743,0.540711462,69.5,105.4,0.302,0.32,0.533,57.2,60.7,9.8,14.6,0.5,16.5,35.7,0.219
Villanova NCAA,22,16,6,0.727,18.08,9.67,11,4,0.733333333,9,0,1,4,4,0.5,1662,1477,0.529467983,66.2,113.4,0.301,0.446,0.563,51.1,57.8,8,4.4,0.529,11.9,28,0.23
Virginia Commonwealth NCAA,26,19,7,0.731,12.28,5.74,10,4,0.714285714,12,2,0.857142857,5,3,0.625,1864,1694,0.523889826,70.5,101.2,0.34,0.349,0.55,49.6,52.7,13,14.8,0.509,18.3,28,0.259
Virginia Tech NCAA,21,15,6,0.714,13.68,7.06,9,4,0.692307692,10,2,0.833333333,3,3,0.5,1515,1376,0.524040125,66.5,107.2,0.332,0.41,0.553,52.3,56.6,7.1,11.8,0.525,15.2,28.4,0.232
Virginia NCAA,24,18,6,0.75,16.66,8.49,13,4,0.764705882,10,1,0.909090909,6,3,0.666666667,1647,1451,0.531633312,60.8,112.3,0.22,0.423,0.589,52.1,55.1,8,13,0.561,13.9,23.1,0.179
West Virginia NCAA,27,18,9,0.667,15.86,10.67,11,6,0.647058824,8,5,0.615384615,7,2,0.777777778,2087,1947,0.517352504,70.7,107.8,0.394,0.331,0.53,51.7,52.5,10.4,7.6,0.487,14.3,35.5,0.283
Wichita State NCAA,21,16,5,0.762,9.43,6.8,11,2,0.846153846,10,2,0.833333333,5,2,0.714285714,1520,1416,0.517711172,68.8,104,0.365,0.406,0.514,49,54.3,8.8,9.5,0.477,13.9,30.6,0.251
Winthrop NCAA,24,23,1,0.958,5.1,-7.65,17,1,0.944444444,11,1,0.916666667,10,0,1,1909,1603,0.54356492,72.8,109.3,0.357,0.393,0.558,56.3,53.6,10.7,6.7,0.53,16.6,35.5,0.245
Wisconsin NCAA,29,17,12,0.586,17.82,12.51,10,10,0.5,11,5,0.6875,5,6,0.454545455,2019,1865,0.519824923,65.7,105,0.269,0.408,0.53,48.8,54.3,8.8,10.4,0.494,12,23.7,0.207
